Continent,Province,GDP_Per_Capita,Accessibility_Mean,Accessibility_SD,Population,Population 65+Proportion,Total_GDP,Income level,15min,30min,60min,Median_Time,Mortality_20201201,Mortality_20210501,Mortality_20220630,Dose_data_20210501,Dose_data_20220630,Province,
North America,Alberta,74663.00 ,5.83E-05,0.000371732,4601314,14.8,373901,HIC,0.89,0.94,0.97,14.49,13.11,44.77,98.35,29.52,80.34,Alberta,
North America,Saskatchewan,71195.00 ,0.000185318,0.000362903,1205119,17.5,93142,HIC,0.8,0.85,0.95,24.87,4.0757,40.86,118.26,34.52,81.04,Saskatchewan,
North America,Manitoba,44893.00 ,2.55E-05,0.000684628,1420228,17.1,70444,HIC,0.05,0.05,0.07,167.28,22.6157,67.08,140.62,29.89,83.04,Manitoba,
North America,Ontario,50755.00 ,1.29E-05,0.000518798,15262660,18.5,853375,HIC,0.45,0.83,0.93,33.76,24.1486,53.98,88.42,33.61,84.76,Ontario,
North America,Qu¨¦bec,46134.00 ,3.23E-05,0.001926747,8751352,20.6,444162,HIC,0.61,0.87,0.93,24.65,75.8886,117.23,171.37,36.47,85.84,Qu¨¦bec,
North America,New Brunswick,40309.00 ,0.000374771,0.003101054,820786,22.8,36228,HIC,0.86,0.96,1,10.65,0.84,4.31,51.26,31.23,88.64,New Brunswick,
North America,Prince Edward Island,41124.00 ,0.000294803,0.000343987,172707,21.2,7633,HIC,0.89,1,1,11.11,0,0,25.89,28.44,91.27,Prince Edward Island,
North America,Massachusetts,98750.00 ,0.000165903,0.001891929,6982740,18.1,688392,HIC,0.99,1,1,6.89,126.286,191,265.33,56.72,99.83,Massachusetts,
North America,Arizona,64010.00 ,7.79E-05,9.26E-05,7365684,18.8,458950,HIC,0.92,0.97,0.99,10.08,86.9,213,373.87,40.97,74.29,Arizona,
North America,Washington,94470.00 ,0.000105023,0.00057192,7784477,16.8,725514,HIC,0.92,0.98,1,11.71,36.1571,69.4,163.47,46.82,81.71,Washington,
North America,South Dakota,74268.00 ,0.000158508,0.00032461,909869,18,67571,HIC,0.84,0.92,0.97,11.53,138.4286,218,326.56,44.96,77.76,South Dakota,
North America,Iowa,72221.00 ,0.000171473,0.000193341,3199693,18.3,231108,HIC,0.9,0.99,1,9.25,110.571,190,308.7,44.31,68.45,Iowa,
North America,California,93460.00 ,0.000111984,0.003712095,39040616,15.8,3598103,HIC,0.97,0.99,1,7.93,52.7571,165,248.2,49.21,82.99,California,
North America,Mississippi,47190.00 ,7.91E-05,0.000110074,2938928,17.3,138740,HIC,0.78,0.96,1,15.62,136,252,450.59,31.11,60.17,Mississippi,
North America,South Carolina,56066.00 ,0.000144629,0.000900414,5282955,19.1,295880,HIC,0.91,1,1,11.13,89.3857,191,366.14,36.74,68.46,South Carolina,
North America,West Virginia,53852.00 ,0.000124921,0.000158922,1774035,21.2,95588,HIC,0.82,0.97,1,13.23,49.5714,165,418.49,35.9,65.58,West Virginia,
North America,New York,104660.00 ,0.000109844,0.000103669,19673200,18.1,2053180,HIC,0.97,1,1,9.65,175.286,274,370.33,48.04,91.1,New York,
North America,Belize,6984.22 ,2.02E-05,7.02E-05,405272,5.086824297,4641,UMIC,0.44,0.68,0.91,32.99,347.903,792.04,1675.36,10.75,61.28,Belize,
North America,Jamaica,6047.22 ,2.65E-05,5.39E-05,2827377,7.448882834,33424,UMIC,0.76,0.97,1,16.61,88.775,267.39,1101.02,5.01,28.76,Jamaica,
Africa,Togo,923.24 ,3.55E-06,1.49E-05,8848699,3.134777391,23077,LIC,0.54,0.73,0.93,37.26,7.233,13.67,31.08,2.21,23.84,Togo,
Africa,Uganda,964.35 ,1.22E-05,8.20E-05,47249585,1.694063556,127282,LIC,0.49,0.84,0.99,24.05,4.783,7.18,76.61,0.72,34.79,Uganda,
Africa,Kenya,2099.30 ,8.51E-06,0.000064612,54027487,2.873047751,311410,LMIC,0.6,0.81,0.91,41.38,26.746,48.18,104.6,1.61,23.4,Kenya,
Africa,Zambia,1456.90 ,1.78E-05,0.000273077,20017675,1.747493153,77955,LMIC,0.49,0.67,0.87,42.82,17.834,62.2,199.97,0.19,28.76,Zambia,
