f_location,latitude,longitude,location
"7 Queen Street, BENDIGO, VIC 3550,Australia",-36.7607191,144.2815312,"7 Queen St, Bendigo VIC 3550, Australia"
"379 Hargreaves Street, BENDIGO, VIC 3550,Australia",-36.7617003,144.2784871,"379 Hargreaves St, Bendigo VIC 3550, Australia"
"Bendigo Marketplace, Shop 11-12, 116 - 120 Mitchell, BENDIGO, VIC 3550,Australia",-36.7658329,144.2801867,"116-120 Mitchell St, Bendigo VIC 3550, Australia"
"130 Arnold Street, BENDIGO, VIC 3550,Australia",-36.7489359,144.281971,"130 Arnold St, Bendigo VIC 3550, Australia"
"9 Lowndes Street, KENNINGTON, VIC 3550,Australia",-36.764689,144.2981578,"9 Lowndes St, Kennington VIC 3550, Australia"
"Strathdale Shopping Centre, Shop 48D, 134 Condon Street, KENNINGTON, VIC 3550,Australia",-36.7749745,144.3048794,"Shop 48D/134 Condon St, Kennington VIC 3550, Australia"
"499 Napier Street, WHITE HILLS, VIC 3550,Australia",-36.7293442,144.3061537,"499 Napier St, White Hills VIC 3550, Australia"
"50 High Street, EAGLEHAWK, VIC 3556,Australia",-36.7189849,144.253639,"50 High St, Eaglehawk VIC 3556, Australia"
"Lansell Square, Shop 40, 267 - 287 High Street, KANGAROO FLAT, VIC 3555,Australia",-36.8104086,144.2424245,"267 High St, Kangaroo Flat VIC 3555, Australia"
"51 Goldie Street, MARONG, VIC 3515,Australia",-36.7313072,144.1343057,"51 Goldie St, Marong VIC 3515, Australia"
"33 Main Street, MALDON, VIC 3463,Australia",-36.9967747,144.0692925,"33 Main St, Maldon VIC 3463, Australia"
"195 Barker Street, CASTLEMAINE, VIC 3450,Australia",-37.0642375,144.2167738,"195 Barker St, Castlemaine VIC 3450, Australia"
"11 Mostyn Street, CASTLEMAINE, VIC 3450,Australia",-37.0651353,144.2159444,"11 Mostyn St, Castlemaine VIC 3450, Australia"
"8 Hospital Street, INGLEWOOD, VIC 3517,Australia",-36.5725952,143.8728954,"8 Hospital St, Inglewood VIC 3517, Australia"
"150 High Street, HEATHCOTE, VIC 3523,Australia",-36.9208907,144.7082782,"150 High St, Heathcote VIC 3523, Australia"
"79 High Street, HEATHCOTE, VIC 3523,Australia",-36.9261559,144.7109983,"79 High St, Heathcote VIC 3523, Australia"
