f_location,latitude,longitude,location
"Apotheek Bracke,Ridderschapslaan (bij Jubelpark) 22,Brussel,Belgium",50.8260453,4.3802052,"Brussels, Belgium"
"Apotheek Breughelwijk,Hoogstraat  87,Brussel,Belgium",50.839746,4.3507656,"Rue Haute 87, 1000 Bruxelles, Belgium"
" Farmalia Apotheek,Tervatestraat  59,Etterbeek,Belgium",50.8303705,4.4004915,"Rue de Tervaete 59, 1040 Etterbeek, Belgium"
"AB Maison M¨¦dicale Anderlecht,Sint-Guidostraat  67,Anderlecht,Belgium",50.8358858,4.3033092,"Rue Saint-Guidon 67, 1070 Bruxelles, Belgium"
"AB Maison M¨¦dicale Jette,Oude-Afspanningsplein  7,Jette,Belgium",50.8852849,4.318181,"Pl. de l'Ancienne Barri¨¨re 7, 1090 Jette, Belgium"
"AK Pharma,Gentsesteenweg  1155,Sint-Agatha-Berchem,Belgium",50.8653558,4.296549,"Chau. de Gand 1155, 1082 Berchem-Sainte-Agathe, Belgium"
"Alphar SRL Apotheek,Paleisstraat  55,Schaarbeek,Belgium",51.2067389,4.4000949,"Paleisstraat 55, 2018 Antwerpen, Belgium"
"Andromede Apotheek,Tweehuizenweg  70,Sint-Lambrechts-Woluwe,Belgium",50.852699,4.4272634,"Chem. des Deux Maisons 70, 1200 Woluwe-Saint-Lambert, Belgium"
"Apoptheek Le Lumecon,Notelaarstraat (bij Daillyplein) 75A,Brussel,Belgium",50.8494836,4.3888213,"Rue du Noyer 75A, 1000 Bruxelles, Belgium"
"Apotheek 3 linden,Berensheide  2,Watermaal-Bosvoorde,Belgium",50.80325,4.4134236,"Berensheide 2, 1170 Watermaal-Bosvoorde, Belgium"
"Apotheek 36¡ã8,Waterloosesteenweg  1063,Ukkel,Belgium",50.8033915,4.3722449,"Chau. de Waterloo 1063/36 8, 1180 Uccle, Belgium"
"Apotheek Ambiorix,Ambiorixsquare  15a,Brussel,Belgium",50.8469753,4.383535,"Ambiorix Square, Square Ambiorix, 1000 Bruxelles, Belgium"
"Apotheek Angophar,Schuitenkaai (metro St Katelijne) 2,Brussel,Belgium",50.8561185,4.3470473,"Bd d'Ypres 13, 1000 Bruxelles, Belgium"
"Apotheek Anspach,Anspachlaan  109,Brussel,Belgium",50.8471637,4.3480496,"Bd Anspach 109, 1000 Bruxelles, Belgium"
"Apotheek Archiducs,Aartshertogenlaan  38,Watermaal-Bosvoorde,Belgium",50.80822,4.4184416,"Av. des Archiducs 38, 1170 Watermael-Boitsfort, Belgium"
"Apotheek Atomium,Reper-Vrevenstraat  16,Laken,Belgium",50.8904243,4.342372,"Rue Reper-Vreven 16, 1020 Bruxelles, Belgium"
"Apotheek AZ Pharmabel,Richard Vanderveldestraat  57,Schaarbeek,Belgium",50.8727935,4.3901937,"Rue Richard Vandevelde 57, 1030 Schaerbeek, Belgium"
"Apotheek Astrid Park,Dokter Jacobsstraat (Meir rotonde, 11) 88,Anderlecht,Belgium",51.2180888,4.4091154,"Meir, 2000 Antwerpen, Belgium"
"Apotheek Beaulieu,Herderstaflaan (Beaulieu Park) 78,Oudergem,Belgium",50.8150074,4.4412512,"Parc, Rue du Rouge-Clo?tre, 1160 Auderghem, Belgium"
"Apotheek Beauport,G Brugmannplein  9,Elsene,Belgium",50.8176446,4.3540139,"Pl. Georges Brugmann 9, 1050 Ixelles, Belgium"
"Apotheek Bergman,Rivierendreef  85,Ganshoren,Belgium",50.8754856,4.3142689,"Dr¨¨ve de Rivieren 85, 1083 Ganshoren, Belgium"
"Apotheek Bezabeme,Jubelfeestlaan  43 bte 1,Sint-Jans-Molenbeek,Belgium",50.8633841,4.3378904,"Bd du Jubil¨¦ 43, 1080 Molenbeek-Saint-Jean, Belgium"
"Apotheek Bontemps,Araucarialaan  79,Laken,Belgium",50.8961742,4.363422,"Av. de l'Araucaria 79, 1020 Bruxelles, Belgium"
"Apotheek Boudewijn,Houba De Strooperlaan  773,Laken,Belgium",50.8977135,4.3276405,"Av. Houba de Strooper 773, 1020 Bruxelles, Belgium"
"Apotheek Butros,Jean Stobbaertslaan  10,Schaarbeek,Belgium",50.8583313,4.3852208,"Av. Jan Stobbaerts 10, 1030 Schaerbeek, Belgium"
"Apotheek Buyl,A. Buyllaan  1,Elsene,Belgium",50.817898,4.37965,"Av. Adolphe Buyl 1, 1050 Ixelles, Belgium"
"Apotheek Centraal,Europakruispunt Centraal Station 2,Brussel,Belgium",50.8456728,4.3569117,"int¨¦rieur Gare Bruxelles-Central, Carr de l'Europe 2, 1000 Bruxelles, Belgium"
"Apotheek Channouri,Fr Beeckmansstraat  31,Ganshoren,Belgium",50.8701697,4.3109711,"Rue Fran?ois Beeckmans 31, 1083 Ganshoren, Belgium"
"Apotheek Coenen,A Markelbachstraat  88,Schaarbeek,Belgium",50.8559885,4.3843908,"Rue Alexandre Markelbach 88, 1030 Schaerbeek, Belgium"
"Apotheek Conscience,Hendrik Consciencelaan  149,Evere,Belgium",50.8715011,4.39975,"Avenue H. Conscience 149, 1140 Evere, Belgium"
"Apotheek D4,Malibranstraat  19,Elsene,Belgium",50.8292322,4.3727566,"Rue Maria Malibran 19/d4, 1050 Ixelles, Belgium"
"Apotheek Darwin,Franz Merjaystraat  42,Elsene,Belgium",50.8205919,4.3545303,"Rue Franz Merjay 42, 1050 Ixelles, Belgium"
"Apotheek De Jacht,Auderghemlaan  344,Etterbeek,Belgium",50.8305816,4.3899848,"1040 Etterbeek, Belgium"
"Apotheek de la Jonction,Groenstraat  58,Sint-Joost-Ten-Node,Belgium",50.8424468,4.3449338,"1000 Brussels, Belgium"
"Apotheek De Oost,Morgenlandstraat (Hoek Jules Maloulaan) 151,Etterbeek,Belgium",50.8320264,4.3851198,"Rue de l'Orient 151, 1040 Etterbeek, Belgium"
"Apotheek De Prater,Ninoofsesteenweg  529,Anderlecht,Belgium",50.8475212,4.3033279,"Chau. de Ninove 529, 1070 Anderlecht, Belgium"
"Apotheek De Ruyck-Rosseels,Itterbeekse Laan  184,Anderlecht,Belgium",50.8346162,4.2901517,"Av. d'Itterbeek 184, 1070 Anderlecht, Belgium"
"Apotheek De Spiegeleere,Roosendaelstraat  102,Vorst,Belgium",50.8085446,4.3304978,"Rue Roosendael 102, 1190 Forest, Belgium"
"Apotheek de Wand,De Wandstraat  154,Laken,Belgium",50.9007214,4.3603651,"Rue de Wand 154, 1020 Bruxelles, Belgium"
"Apotheek Debrus Tensi,Legerlaan  7,Etterbeek,Belgium",50.8375107,4.4043037,"Av. de l'Arm¨¦e 7, 1040 Etterbeek, Belgium"
"Apotheek des Cerisiers,Kerselarenlaan  99,Sint-Lambrechts-Woluwe,Belgium",50.8474523,4.4092997,"Av. des Cerisiers 99, 1200 Woluwe-Saint-Lambert, Belgium"
"Apotheek Des Citronniers,Citroenbomenlaan  56,Laken,Belgium",50.8954795,4.3274418,"Av. des Citronniers 56, 1020 Bruxelles, Belgium"
"Apotheek des Invalides,Invalidenlaan  78,Oudergem,Belgium",50.8168036,4.4139078,"Bd des Invalides 78, 1160 Auderghem, Belgium"
"Apotheek Dewever,Ninoofsesteenweg  402,Anderlecht,Belgium",50.8476808,4.310385,"Chau. de Ninove 402, 1070 Anderlecht, Belgium"
