f_location,latitude,longitude,location
"Corozal Community Hospital,Corozal ,Belize",18.3985615,-88.39354990000001,"9JX4+CHG, Corozal, Belize"
"Northern Regional Hospital,Orange Walk,Belize",18.0940025,-88.5627224,"3CVP+JW2, Orange Walk, Belize"
"Central Health Region,Belize District,Belize",17.5062861,-88.19533299999999,"GR43+GV7, Coney Dr, Belize City, Belize"
"Matron Robert's Polyclinic,Belize District,Belize",17.5677679,-88.4016041,"Belize District, Belize"
"Port Loyola Health Center,Belize District,Belize",17.4854941,-88.19645080000001,"FRP3+5CV Port Loyola Park, Belize City, Belize"
"Ladyville Health Center,Belize District,Belize",17.5546717,-88.3106154,"HM3Q+VQ6, Lords Bank Road, Ladyville, Belize"
"Dr. Otto Rodriguez San Pedro Polyclinic II,San Pedro,Belize",17.9154313,-87.96670759999999,"W28M+58F, San Pedro, Belize"
"Las Flores,Belmopan,Belize",17.2358301,-88.7755431,"66PF+8QP, Belmopan, Belize"
"Armenia,Belmopan,Belize",17.1556638,-88.746393,"Armenia, Belize"
"Salva Pan,Belmopan,Belize",17.2535648,-88.75410459999999,"763W+C9C, C. Las Americas, Belmopan, Belize"
"San Ignacio Community Hospital,San Ignacio,Belize",17.1522786,-89.0800227,"San Ignacio, Belize"
"Dangriga Polyclinic,Stann Creek,Belize",16.969561,-88.23151299999999,"Dangriga, Belize"
"Punta Gorda Community Hospital,Toledo,Belize",16.098935,-88.80949059999999,"Punta Gorda, Belize"
"San Antonio Polyclinic,Toledo,Belize",16.2455681,-89.0239074,"6XWG+6CG, San Antonio, Belize"
