Zone,Name,Lon,Lat
Serbithang,Babesa Primary School,89.6506872,27.42945957
Serbithang,Dr. Tobgyel Middle Secondary school,89.64859311,27.43148481
Simtokha,Royal Institute of Management,89.66673887,27.44224268
South Periphearl Zones,Desi High School,89.64434924,27.43274245
South Periphearl Zones,Royal Tiimphu College,89.65987665,27.40050491
YHS,Lungtenzampa Middle Secondary School,89.64445311,27.4684081
Core,Jigme Losel Primary School,89.63884324,27.47724292
Core,Kelki Higher Secondary school,89.63462107,27.47083232
Changgangkha,DYS Campus,89.6347069,27.47078472
Motithang,Changangkha Middle Secondary School,89.63197548,27.47551519
Motithang,Jigme Namgyel Lower Secondary School,89.62295418,27.47712477
Zilukha,Zorig Chusum School of Traditional Arts,89.6316093,27.48309103
Zilukha,Zilukha Middle Secondary School,89.62973297,27.48874145
Hejo Samtenling ,Archery Ground,89.64179132,27.4698783
Hejo Samtenling ,BOC Multipurpose Hall,89.63487728,27.50286801
Taba,Jungzhina Primary School,89.63329097,27.47271816
Taba,Nima Higher Secondary School,89.64148157,27.5157518
Taba,Taba Lower Secondary School,89.64860132,27.51261406
Dechenchholing,Dechhencholing Higher Secondary School,89.64421636,27.52723955
South Peripheral Zones,Desi High School,89.64439874,27.43270458
South Peripheral Zones,Royal Thimphu College,89.65995683,27.40040663
North Peripheral Zones,Kuzhugchen Middle Secondary School,89.65350891,27.5597282
North Peripheral Zones,BPC Colony,89.63824007,27.47640229
Jdwnrh,Flu Clinic,89.63981523,27.46432497
,,,
Data Source: ,https://www.moh.gov.bt/vaccination-post-for-second-dose-vaccination-campaign-in-thimphu-thromde/,,
