序号,地市,区县,新冠疫苗接种单位名称,地址,预约电话（固定电话，用于公布给公众咨询预约事宜）,bd09ll_Lon,bd09ll_Lat,Wgs84_Lon,Wgs84_Lat
184,湛江市,遂溪县,遂溪县江洪镇卫生院,遂溪县江洪镇军明路112号,0759-7599481,109.715279,21.02918867,109.7045122,21.02574205
183,湛江市,遂溪县,遂溪县乐民镇卫生院,遂溪县乐民镇为民路8号,0759-7533910,109.7657053,21.1456017,109.7548541,21.14231152
243,湛江市,雷州市,雷州市企水镇卫生院,雷州市企水镇新华街6号,0759-8396011,109.7701729,20.76856299,109.7593705,20.76520803
187,湛江市,遂溪县,遂溪县草潭镇卫生院,遂溪县草潭镇草遂路,0759-7159303,109.787804,21.279995,109.7770261,21.27635666
242,湛江市,雷州市,雷州市纪家镇中心卫生院,雷州市纪家镇银桥路之01号,0759-8296173,109.788728,20.95394395,109.7779973,20.95030645
186,湛江市,遂溪县,遂溪县港门镇卫生院,遂溪县港门镇人民路36号,0759-7505200,109.8053751,21.22458879,109.7946879,21.22083355
188,湛江市,遂溪县,遂溪县草潭镇卫生院(下六分院),遂溪县草潭镇遂下路16号,0759-7125030,109.822547,21.31905097,109.8118588,21.31543468
200,湛江市,廉江市,廉江市车板镇卫生院,廉江市车板镇南市路14号,0759-6375387,109.834357,21.526743,109.8236166,21.52335619
241,湛江市,雷州市,雷州市唐家镇卫生院,雷州市唐家镇建安街21号,0759-8326201,109.853953,20.84506587,109.8432638,20.84199471
211,湛江市,廉江市,广东省红江农场医院,廉江市青平镇红江农场228国道旁,0759-6315600,109.866592,21.63268095,109.8558337,21.62974897
248,湛江市,雷州市,雷州市第四人民医院,雷州市乌石镇乌石大道茶亭路段,0759-8366089,109.868317,20.56338701,109.8576216,20.56034919
247,湛江市,雷州市,雷州市北和镇卫生院,雷州市北和镇朝阳路004号,0759-8595105,109.880007,20.655853,109.8693475,20.65278263
194,湛江市,遂溪县,广东省广前糖业发展有限公司医院平原医院,遂溪县北坡镇富民路,0759-7172067,109.89084,21.219714,109.8802217,21.21652353
185,湛江市,遂溪县,遂溪县北坡镇卫生院,遂溪县北坡镇文明路43号,0759-7174130,109.9051353,21.23049947,109.8945674,21.2270764
249,湛江市,雷州市,雷州市覃斗镇卫生院,雷州市覃斗镇江乐路094号,0759-8650314,109.9136996,20.53684272,109.9031642,20.53324786
218,湛江市,廉江市,廉江市青平镇中心卫生院,廉江市青平镇人民路168号,0759-6301801,109.923707,21.63571298,109.9131193,21.63216393
189,湛江市,遂溪县,遂溪县杨柑镇中心卫生院,遂溪县杨柑镇文卫路1号,0759-7322044,109.9321315,21.33383892,109.9215898,21.33024144
227,湛江市,廉江市,廉江市营仔镇卫生院,廉江市营仔镇人民路24号,0759-6735263,109.9330249,21.49056341,109.9224495,21.48698664
297,湛江市,徐闻县,徐闻县西连镇卫生院,徐闻县西连镇新市路6号,0759-4578033,109.941885,20.380729,109.9313615,20.37707436
257,湛江市,雷州市,广东省火炬农场医院,雷州市龙门鐵火炬农场场部,0759-8503033,109.957048,20.74984398,109.9464317,20.74653147
291,湛江市,徐闻县,徐闻县角尾镇卫生院,徐闻县角尾乡建新路001号,0759-4580622,109.9644577,20.26637352,109.9538293,20.26296683
240,湛江市,雷州市,雷州市杨家镇卫生院,雷州市杨家镇东风路007号,0759-8224080,109.9666551,20.90039586,109.955952,20.89722499
192,湛江市,遂溪县,遂溪县界炮镇卫生院,遂溪县界炮镇界炮圩448路,0759-7354815,109.973303,21.40735429,109.9625366,21.40425616
295,湛江市,徐闻县,徐闻县迈陈镇中心卫生院,徐闻县迈陈镇环市路018号,0759-4520881,110.000415,20.33684494,109.9896362,20.33349795
228,湛江市,廉江市,廉江市长山镇卫生院,廉江市长山镇中兴路78号,0759-6171433,110.005115,21.809202,109.9942802,21.8060753
229,湛江市,廉江市,广东省长山农场医院,廉江市长山镇长山农场场部,0759-6170167,110.007279,21.806349,109.9964426,21.80318216
182,湛江市,遂溪县,遂溪县河头镇中心卫生院,遂溪县河头镇文明中路5号,0759-7577689,110.015367,21.272606,110.0045234,21.26914213
181,湛江市,遂溪县,遂溪县乌塘镇卫生院,遂溪县乌塘镇府前路35号,0759-7248005,110.0153673,21.27260636,110.0045237,21.26914249
239,湛江市,雷州市,雷州市客路镇卫生院,雷州市客路镇育才路002号,0759-8131007,110.016835,21.090208,110.0060392,21.08672441
199,湛江市,廉江市,廉江市安铺镇第二卫生院,廉江市安铺镇西大路102号,0759-6850921,110.0230665,21.45947606,110.0122525,21.45588398
265,湛江市,雷州市,广东省农垦第二医院,雷州市龙门镇新华中一路306号,18938413076,110.0264173,20.69422425,110.0156119,20.69053589
246,湛江市,雷州市,雷州市龙门镇卫生院,雷州市龙门镇新华横三路200号,0759-8518003,110.028101,20.69744596,110.0172977,20.69372921
221,湛江市,廉江市,廉江市石颈镇卫生院,廉江市石颈镇东街20号,0759-6525123,110.028332,21.712047,110.0174979,21.70843134
198,湛江市,廉江市,廉江市安铺镇中心卫生院,廉江市安铺镇民建路78号,0759-6844964,110.0308233,21.45692791,110.0200079,21.45319902
226,湛江市,廉江市,廉江市雅塘镇卫生院,廉江市雅塘镇廉雅路73号,0759-6295653,110.0503936,21.62014933,110.0395011,21.6163046
258,湛江市,雷州市,广东省幸福农场医院,雷州市英利镇幸福农场幸福大道,0759-8508098,110.053698,20.60909597,110.042877,20.60517701
244,湛江市,雷州市,雷州市松竹镇卫生院,雷州市松竹镇河东一街025号,0759-8432216,110.0627403,20.84982255,110.0518702,20.84601083
209,湛江市,廉江市,廉江市横山镇卫生院,廉江市横山镇横安路35号,0759-6797005,110.0749992,21.48324654,110.0640202,21.47961789
255,湛江市,雷州市,雷州市新城街道社区卫生服务中心,雷州市水店社区水店一巷29号,0759-8833268,110.077947,20.929607,110.066966,20.92600716
