Province,region1,region2,name,Address,latitude,longitude
Newfoundland and Labrador,Harbour Breton,,Connaigre Peninsula Community Health Centre, P.O. Box 368 Harbour Breton NL   A0H 1P0,47.4759783,-55.8290187
Newfoundland and Labrador,Glovertown,,Dr. C.V. Smith Memorial Community  Health Centre, P.O. Box 9 Glovertown NL   A0G 2L0,48.6738424,-54.0337335
Newfoundland and Labrador,Twillingate,,N.D. Bay Memorial Health Centre, Twillingate NL    A0G 4M0,49.6482618,-54.7638122
Quebec,Laurentides,,Lachute | Carrefour d'Argenteuil,"?505, avenue?B¨¦thany, J8H 4A6",45.63897,-74.32646
Prince Edward Island,,Queens County,Shoppers Drug Mart,"?675 University Avenue, Charlottetown",46.2647192,-63.1477265
Northwest Territories,,,Paulatuk,"?General Delivery,?Paulatuk, NT X0E 1N0",69.350935,-124.071209
Northwest Territories,,,Public Health,"#3 Gaetz Drive,?Hay River, NT X0E 0R8",60.8164815,-115.7790441
Saskatchewan,Saskatoon,,Werezak's Pharmacy,"#5-123 Lenore Dr, Saskatoon, SK S7K 7H9",52.1726438,-106.6347629
Prince Edward Island,,Prince County,Loblaw Pharmacy #314,"(Superstore location)?535 Granville Street, Summerside",46.4196834,-63.7773903
New Brunswick,MONCTON,SAINT-ANTOINE,PHARMACIE JEAN COUTU #493,1 AVENUE DE L'EGLISE AVENUE - UNIT/UNIT? 1,46.3626495,-64.7527896
New Brunswick,SAINT JOHN,SAINT JOHN,SOBEYS PHARMACY,1 AVENUE PLAZA AVENUE,45.2491877,-66.102031
Newfoundland and Labrador,,,Corner Brook - Public Health Nurse,"1 Brookfield Ave,  Corner Brook,  NL A2H 6J7",48.9484009,-57.930671
New Brunswick,SAINT JOHN,ROTHESAY,KENNEBACASIS DRUGS,1 CHEMIN MARR ROAD,45.3963847,-65.9817081
Newfoundland and Labrador,,,Placentia Community Services,1 Corrigan Place?Newfoundland and Labrador?A0B 2Y0,47.3278176,-53.4505056
Newfoundland and Labrador,,,Baie Verte Penisula Health Centre (BVD),1 Hospital Road?NL?A0K 1B0,49.9257729,-56.2219345
Saskatchewan,Melville,,Prairie Coop Pharmacy,"1 Veteran's Way 100, Melville, SK S7J 2G3",50.9390907,-102.8133621
New Brunswick,BATHURST,CARAQUET,SOBEYS PHARMACY,10 BOULEVARD ST. PIERRE EST BOULEVARD,47.7941015,-64.9366454
Saskatchewan,Hafford,,Redberry Pharmacy Ltd. - Hafford,"10 Main Street, Hafford, SK, SOJ 1A0",52.7278229,-107.3535068
New Brunswick,SAINT JOHN,QUISPAMSIS,VALLEY PHARMACY,10 PROMENADE MILLENIUM DRIVE,45.4178802,-65.9438747
New Brunswick,SAINT JOHN,SUSSEX,SUSSEX PHARMACHOICE,10 RUE PARK STREET ¨C SUITE 101,47.3641827,-68.3346679
Quebec,Mont¨¦r¨¦gie,,LACOLLE,"10, rue Sainte-Marie",46.8112919,-71.2206578
New Brunswick,MONCTON,MONCTON,HARRISVILLE PHARMACY,100- 1121 CHEMIN SHEDIAC ROAD,46.1185395,-64.7198274
Saskatchewan,Saskatoon,,Shoppers Drug Mart No. 2465,"100 1804 McOrmond Drive, Saskatoon, SK, S7S 0A6",52.147486,-106.5666617
Saskatchewan,,,Shoppers Drug Mart No. 2464,"100 22B Great Plains Road, Emerald Park, SK, S4L1B6",50.446399,-104.407873
Ontario,,,City of Ottawa Health Unit,"100 Constellation Dr, Nepean, ON K2G 6J8, Canada",45.3456768,-75.7639017
Ontario,,,City of Hamilton Health Unit,"100 Main St W, Hamilton, ON L8P 1H6",43.2569357,-79.8735212
New Brunswick,FREDERICTON,WOODSTOCK,MEDICINE SHOPPE,100 RUE JONES STREET,46.1008009,-64.7974357
Saskatchewan,Weyburn,,Wal-Mart Pharmacy No. 5790,"1000 Sims Avenue, Weyburn, SK, S4H 3N9",49.6614421,-103.8733161
Manitoba,,,Brandon Pop-up Clinic (Westman Immigration),"1001 Pacific Ave, Brandon, MB R7A 0J2",49.8497733,-99.9514649
Saskatchewan,Regina,,Landmark Pharmacy,"100-2629 29th Ave, Regina, SK",50.4120453,-104.6199546
Ontario,,,Windsor-Essex County Health Unit,"1005 Ouellette Ave, Windsor, ON N9A 4J8",42.3086507,-83.0340003
Saskatchewan,Melville,,Loblaw Pharmacy No. 4408,"100A Halifax Avenue W, Melville, SK, SOA 2P0",50.9391418,-102.804082
Ontario,,,Grey Bruce Health Unit,"101 17th St E, Owen Sound, ON N4K 0A5",44.5761971,-80.9409042
Saskatchewan,Langenburg,,Ty's Pharmacy,"101 Kaiser Wilhelm Avenue, Langenburg, SK, SOA 2A0",50.8436739,-101.7050384
New Brunswick,SAINT JOHN,ST. STEPHEN,ST. STEPHEN PERSCRIPTION CENTER,101 RUE KING STREET,45.9061184,-64.3861511
Saskatchewan,Saskatoon,,Westview Pharmacy,"10-110 Wedge Road, Saskatoon, SK, S7L 6Y4",52.1455051,-106.7259834
Newfoundland and Labrador,,,Marystown Health and Community Services,10-12 Harris Drive Business Park Newfoundland and Labrador A0E 2M0,47.1758731,-55.1587084
Newfoundland and Labrador,,,Marystown Health and Community Services,10-12 Harris Drive Business Park?Newfoundland and Labrador?A0E 2M0,47.1758731,-55.1587084
Saskatchewan,Saskatoon,,Pharmasave No. 422,"101215 Central Avenue, Saskatoon, SK, S7N 2K8",52.1416364,-106.5989085
Saskatchewan,Melfort,,Rexall No. 7318,"101-312 Stovel Avenue W, Melfort, SK, SOE 1A0",52.8650985,-104.6147793
Saskatchewan,Rosthern,,Rosthern Pharmacy,"1014 6th Street, Rosthern, SK, SOK 3RO",52.6628574,-106.3330804
Saskatchewan,Lloydminster,,Lloyd Drug Mart,"1014100 70th Avenue, Lloydminster, AB, T9V2X3",53.2752617,-110.0476266
New Brunswick,FREDERICTON,FREDERICTON,SHOPPERS DRUG MART #176,1015 RUE REGENT STREET,45.942458,-66.6556752
Saskatchewan,Ni pawin,,Loblaw Pharmacy No. 4405,"101A Railway Avenue W, Nipawin, SK, SOE 1E0",53.3632736,-104.0185053
Saskatchewan,Saskatoon,,Pacific Avenue Pharmacy,"102 149 Pacific Avenue, Saskatoon, SK, S7K5M3",52.1305645,-106.6680552
Saskatchewan,Yorkton,,Pharmasave No. 443,"102 -20 Gladstone Avenue S, Yorkton, SK, S3N 2B1",51.2094904,-102.474965
Saskatchewan,Warman,,Diamond Centre Pharmacy,"102 Central Street W, Warman, SK, S0K4S0",52.3187499,-106.575326
Saskatchewan,Melfort,,Pederson Family Pharmacy,"102 Main Street, Melfort, SK, SOE 1A0",52.8597372,-104.610706
Saskatchewan,Saskatoon,,Medicine Shoppe Pharmacy 408,"10-2401 Preston Ave S, Saskatoon, SK S7J 2G3",52.0998971,-106.6221206
Saskatchewan,Saskatoon,,Medicine Shoppe No. 203,"103 Hospital Drive, Saskatoon, SK, S7N 0W8",52.1292083,-106.6434959
New Brunswick,FREDERICTON,FREDERICTON,SHOPPERS DRUG MART #172,1040 RUE PROSPECT STREET,45.9408887,-66.6680885
Saskatchewan,Regina,,Medicine Shoppe No. 204,"104-2550 12th Avenue, Regina, SK, S4P 3X1",50.4490494,-104.6176138
New Brunswick,BATHURST,BATHURST      ,PHARMACIE JEAN COUTU #69,1047 AVENUE ST. PETER AVENUE,47.6350175,-65.6743234
Saskatchewan,Regina,,Medicine Shoppe No. 407,"1052 3806 Albert Street, Regina, SK, S4S 3R2",50.4182254,-104.6199643
Saskatchewan,Regina,,Rubicon Health Solutions,"1056 Winnipeg St S, Regina, SK S4R 8P8",50.4616959,-104.5960615
New Brunswick,MIRAMICHI,MIRAMICHI,MEDICINE SHOPPE,106 BOULEVARD NEWCASTLE BOULEVARD,47.0013998,-65.5646351
Yukon,,Carmacks,Carmacks health center,"106 River Dr, Carmacks, YT Y0B 1C0",62.0909851,-136.2796825
New Brunswick,MONCTON,SACKVILLE,CORNER DRUG STORE,106 RUE MAIN STREET,46.28749,-67.51276
Northwest Territories,,,Public Health,106 Veterans Way (1st Floor),68.3561553,-133.7251528
Saskatchewan,Preeceville,,Paul's Drugs,"107 Main Street, Preeceville, SK, S0A3B0",51.9571858,-102.6709117
New Brunswick,MONCTON,MONCTON,CAMERON CLINIC,107 RUE CAMERON STREET,46.0885595,-64.7885355
New Brunswick,SAINT JOHN,SAINT JOHN,LAWTONS DRUGSNURSING HOME,107 RUE CATHERWOOD STREET - SUITE 212,45.2547153,-66.096893
New Brunswick,SAINT JOHN,SAINT JOHN,LAWTONS DRUGS,107 RUE CATHERWOOD STREET,45.2547153,-66.096893
Saskatchewan,Saskatoon,,Rexall No. 7305 8th St,"108-3929 8th Street East, Saskatoon, SK, S7H 5M2",52.1158695,-106.588953
Saskatchewan,,,SASKATOON,108-407 Ludlow StreetOpens in new window,52.1485136,-106.5719357
Nunavut,,,Public Health Centre,"1091 Mivvik Street, Iqaluit, NU X0A",63.7509036,-68.5311077
Newfoundland and Labrador,,,Meadows - Public Health Nurse,"11 A Community Hall Road, Meadows, NL, A2H 6B9",48.9934126,-58.032841
Saskatchewan,Prince Albert,,Lake Country Co-op Pharmacy #2,"110 - 8th Street East, Prince Albert, SK, S6V 0V7",53.2060617,-105.7504744
Saskatchewan,Ni pawin,,Davis Rexall Drugs,"110 1st Avenue W, Nipawin, SK, SOE 1E0",53.3618558,-104.0175118
Saskatchewan,Roca nvi lie,,Rocanvilie Super Thrifty Pharmacy,"110 Ellice Street, Rocanvilie, SK, S0A3L0",50.3825736,-101.7001919
Saskatchewan,Big River,,Prescription Works Pharmacy,"110 Main Street, Big River, SK, SOJ 0E0",53.8325559,-107.0345211
New Brunswick,SAINT JOHN,SAINT JOHN,SHOPPERS DRUG MART #580,110 RUE CROWN STREET,45.2791926,-66.0512781
Saskatchewan,Saskatoon,,SRx Pharmacy Saskatoon,"110-119 4th Avenue S, Saskatoon, SK, S7K 5X2",52.1271082,-106.6612761
Newfoundland and Labrador,,,HAPPY VALLEY-GOOSE BAY,,47.4759783,-55.8290187
Newfoundland and Labrador,,,WABUSH,,47.4759783,-55.8290187
Saskatchewan,Cudworth,,Yuzdepski's Pharmacy,"111 Main Street, Cudworth, SK, SOK 1B0",52.4894924,-105.731895
