f_location,latitude,longitude,location
"Old Navua Hospital,Serua/Namosi,Fiji",-18.2185128,178.1610801,"Q5J6+HCW, Queens Rd, Navua, Fiji"
"Nuffield Health Centre,Suva,Fiji",-18.1405049,178.4232507,"Suva, Fiji"
"Samabula Health Centre,Suva,Fiji",-18.1244745,178.4438966,"VCGV+6H6, Totoya St, Suva, Fiji"
"Raiwaqa Health Centre,Suva,Fiji",-18.1371626,178.4500909,"VF72+42P, Grantham Rd, Suva, Fiji"
"Lami Health Centre,Suva,Fiji",-18.1122899,178.4152027,"Lami, Fiji"
"Valelevu Health Centre,Nasinu,Fiji",-18.0939502,178.4808826,"Daniva Rd, Suva, Fiji"
"Nausori Health Centre,Nausori,Fiji",-18.0293007,178.5308505,"XGCJ+78H, Nausori, Fiji"
"Vunidawa Health Centre,Naitasiri,Fiji",-17.8290359,178.3251456,"Vunidawa, Fiji"
"Sigatoka Health Centre,Sigatoka,Fiji",-18.1416372,177.5074315,"VG54+8XV, Sigatoka, Fiji"
"Sarada Building SOPD, Terrace,Nadi,Fiji",-17.7806257,177.4298961,"Nadi, Fiji"
"Lautoka Health Centre,Lautoka,Fiji",-17.6122925,177.4547375,"9FQ3+3VQ, Hosipital Road, Lautoka, Fiji"
"Ba Health Centre,Ba,Fiji",-17.5403,177.6899657,"FM5Q+VXG, Ba, Fiji"
"Tavua Health Centre,Tavua,Fiji",-17.4414891,177.8623411,"Tavua, Fiji"
"Ra Health Centre,Rakiraki,Fiji",-17.3736003,178.1706047,"Rakiraki, Fiji"
"Nasea Health Centre,Macuata,Fiji",-16.4304126,179.3745992,"H99F+RRQ, Nanuku St, Labasa, Fiji"
"Nabouwalu Hospital,Bua,Fiji",-16.9981396,178.6945724,"Nabouwalu Rd, Fiji"
"Savusavu Hospital- Old Health Centre Building,Cakaudrove,Fiji",-16.7732232,179.3537378,"69G3+PF9, Cross Island Rd, Savusavu, Fiji"
"Waiyevo Health Centre,Taveuni,Fiji",-16.7839166,-179.9801782,"Waiyevo, Fiji"
"Vuna Health Centre,Taveuni,Fiji",-16.8414365,-179.9813445,"Taveuni Island, Fiji"
