f_location,latitude,longitude,location
"Qaanaaq, healthcare center,Avannaa,Greenland Island",77.4670434,-69.2284828,"Qaanaaq, Greenland"
"Ilulissat, healthcare center,Avannaa,Greenland Island",69.2263619,-51.0886135,"Nuussuattaap Aqq. 2, Ilulissat 3952, Greenland"
"Aasiaat, healthcare center,Disko,Greenland Island",68.70697659999999,-52.85912219999999,"Aasiaat, Greenland"
"Qasigiannguit, healthcare center,Disko,Greenland Island",68.8219742,-51.1817887,"Qasigiannguit, Greenland"
"Kangaamiut,Qeqqa,Greenland Island",65.825195,-53.3434801,"Kangaamiut, Greenland"
"Atammik,Qeqqa,Greenland Island",64.80379440000002,-52.17289969999999,"Atammik, Greenland"
"Napasoq,Qeqqa,Greenland Island",65.0471605,-52.3803012,"Napasoq, Greenland"
"Sisimiut, healthcare center,Qeqqa,Greenland Island",66.9394722,-53.6733857,"Sisimiut 3911, Greenland"
"Maniitsoq,Qeqqa,Greenland Island",65.46666669999999,-52.9833333,"Maniitsoq Island, Greenland"
"Nuuk, healthcare center,Sermersooq,Greenland Island",64.17432339999999,-51.7372787,"Nuuk, Greenland"
"Paamiut, healthcare center,Sermersooq,Greenland Island",61.99411509999999,-49.6665709,"Paamiut, Greenland"
"Tasiilaq, healthcare center,Sermersooq,Greenland Island",65.6134561,-37.6335696,"Tasiilaq, Greenland"
"Nanortalik, healthcare Center,Kujataa,Greenland Island",60.1424955,-45.239495,"Nanortalik, Greenland"
