Region,Health Facility Name,latitude,longitude
,Angoy's Avenue Health Centre,6.246689422,-57.51205454
,Brothers Health Centre,6.874832946,-58.33949168
,Canal #2 Health Centre,6.732555972,-58.28139994
,Cotton Tree Health Centre,6.286091184,-57.54224148
East Coast Demerara,Enmore Health Centre,6.752875367,-57.98992288
,Good intent Health Centre,6.713108994,-58.20733306
East Bank Demerara,Grove Health Centre,6.703898914,-58.18981228
,Highdam Health Centre,6.63461742,-57.86153219
,Ithaca Health Centre,6.241729809,-57.54335769
Moruca,Kwebanna Health Centre ,7.569643092,-59.14481625
,Leonora Health Centre,6.873943421,-58.29016861
,Mahdia District Hospital,5.282925727,-59.15376284
Moruca,Manawarin Health Centre ,6.82347318,-58.16109401
,New Amsterdam Hospital,6.255726395,-57.51278283
Matarkai,Pakera District Hospital ,7.554768048,-60.13370142
,Parafaite Health Centre,6.774698071,-58.22553161
,Rosignol Health Centre,6.274844727,-57.53775508
,Versailles Health Centre,6.793013217,-58.18639857
Moruca,Warimuri Health Centre ,2.933975789,-59.48153061
,Zeelugt Health Centre,6.871703746,-58.34311433
,Kopinang Health Centre,4.934016972,-59.79738222
,Skeldon Hospital,5.877736953,-57.14107109
,Bushlot Health Centre,6.200396385,-57.26408153
,Port Mourant Health Centre,6.248844011,-57.34885749
,Woodley Park Health Centre,6.350122576,-57.57730396
,Fort Wellington Secondary,6.392420471,-57.59725557
East Bank Demerara,Soesdyke Health Centre,6.545795528,-58.23586271
,Mahaicony Community Centre,6.572950559,-57.80847146
East Bank Demerara,Herstelling Hcalth Centre,6.746211835,-58.18584299
East Bank Demerara,Eccles Health Centre,6.874687861,-58.34190506
,La Grange Health Centre,6.764732791,-58.19915542
East Coast Demerara,Lusignan Health Centre,6.7987392,-58.0417279
Central Georgetown,Ministry of Health Vaccination Centre - Brickdam,6.8046697,-58.151745
East Coast Demerara,Beterverwagting Health Centre,6.8066772,-58.0589996
Central Georgetown,Gcorgetown Public Hospital Incorporation,6.8164364,-58.1563113
,Den Amstel Health Centre,6.8295262,-58.2548073
,Windsor Forest Health Centre,6.8494422,-58.2378736
,Tuschen Health Centre,6.764738256,-58.19916187
,Vergenoegen Health Centre,6.855774585,-58.35207443
,Meten Meer Zorg Health Centre,6.8799117,-58.3241875
Matarkai,Baramita Health Hut,7.35,-60.483333
Moruca,Kumaka District Hospital,7.6451659,-58.9570047
Matarkai,Port Kaituma Hospital,7.726076,-59.884041
Mabaruma,Mabaruma Regional Hospital,8.2012666,-59.7878377
Mabaruma,Hosororo Health Hut,8.177578403,-59.80599862
Mabaruma,Wauna Health Centre,8.15107031,-59.8809831
,Edinburg Health Centre,6.19877354,-57.52325456
