f_location,latitude,longitude,location
"Main Street, Hacketstown, Carlow,Ireland",52.8646845,-6.557637,"Main St, Hacketstown Lower, Co. Carlow, Ireland"
"Unit 3, Main Street, Ballon, Carlow, R93 W92A,Ireland",52.6016061,-6.9287053,"3 Main St, Borris, Co. Carlow, R95 V3W0, Ireland"
"Hanover Plaza, Kennedy Avenue, Carlow Town, Carlow, R93 P2Y2,Ireland",52.8345914,-6.9288705,"Hanover Court, Carlow, Ireland"
"Main Street, Borris, Carlow, R95 EK44,Ireland",52.59806750000001,-6.9203607,"Borris, Co. Carlow, R95 EK44, Ireland"
"Fairgreen Shopping Centre, Barrack Street, Carlow, Carlow, R93 H2C7,Ireland",52.83509,-6.92571,"Barrack St, Carlow, Ireland"
"Mill Street Pharmacy, Mill Street, Tullow, Carlow, R93 YC64,Ireland",52.800231,-6.7340741,"Mill St, Tullowphelim, Co. Carlow, Ireland"
"The Square, Tullow, Carlow, R93 AN81,Ireland",52.8029355,-6.736165100000001,"The Square Tullow, Tullowphelim, Co. Carlow, Ireland"
"Main Street, Rathvilly, Carlow, R93 N159,Ireland",52.8808975,-6.694341199999999,"Rathvilly, Co. Carlow, R93 N159, Ireland"
"The Square, Tullow, Carlow, R93 N1W7,Ireland",52.8029355,-6.736165100000001,"The Square Tullow, Tullowphelim, Co. Carlow, Ireland"
"44 Tullow Street, Carlow Town, Carlow, R93 H2F5,Ireland",52.8358907,-6.9276139,"44 Tullow St, Carlow, R93 H2F5, Ireland"
"Main Street, Arvagh, Cavan, H12 V6D7,Ireland",53.9237201,-7.5828732,"Drumalt, Co. Cavan, H12 V6D7, Ireland"
"91 Main Street, Abbeyland, Cavan, Cavan, H12 V2H6,Ireland",53.9915189,-7.3603085,"Acc House, 91 Main St, Abbeyland, Cavan, H12 V2H6, Ireland"
"Main Street, Kingscourt, Cavan, A82 V8D6,Ireland",53.9059767,-6.804715300000001,"Dunaree, Co. Cavan, A82 V8D6, Ireland"
"Main Street, Ballyconnell, Cavan, H14 CP83,Ireland",54.1171519,-7.582349499999999,"Doon, Co. Cavan, H14 CP83, Ireland"
"77 Main Street, Cavan, Cavan, H12 P0A4,Ireland",53.9902407,-7.3605599,"77 Main St, Abbeyland, Cavan, Ireland"
"26 Market Street, Cootehill, Cavan, H16 XC62,Ireland",54.0741582,-7.080874199999999,"26 Market St, Munnilly, Cootehill, Co. Cavan, H16 XC62, Ireland"
"Virginia Shopping Centre, Virginia, Cavan, A82 W0C8,Ireland",53.8347244,-7.0854942,"Virginia Shopping Centre, Virginia, Co. Cavan, Ireland"
"78 Market Street, Drumaveil North, Cootehill, Cavan, H16 X005,Ireland",54.0727201,-7.0823297,"78 Market St, Munnilly, Cootehill, Co. Cavan, H16 X003, Ireland"
"Main Street, Virgina, Cavan, A82 K270,Ireland",53.8340551,-7.0807946,"Virginia, Co. Cavan, A82 K270, Ireland"
"14 New Court Shopping Centre, Cavan Town, Cavan, H12 W300,Ireland",53.9927072,-7.3592097,"Newcourt Centre, Church St, Kinnypottle, Cavan, Ireland"
"Main Street, Virginia, Cavan, A82 F4A6,Ireland",53.83449710000001,-7.082052099999999,"Virginia, Co. Cavan, A82 F4A6, Ireland"
"Ballycasey Crescent, Shannon, Clare, V14 XY26,Ireland",52.713181,-8.8657117,"Ballycasey Crescent, Smithstown, Shannon, Co. Clare, Ireland"
"40-42 O'Connell Street, Ennis, Clare, V95 C7YY,Ireland",52.8429807,-8.982846,"40 O'Connell Street, Clonroad Beg, Ennis, Co. Clare, V95 C7YY, Ireland"
"Applegreen Service Station, Shannonbanks, Corbally, Clare, V94 E37F,Ireland",52.6831951,-8.6083734,"Shannon Banks, Knockballynameath, Co. Clare, Ireland"
"Frances Street, Drimna, Kilrush, Clare, V15 YF72,Ireland",52.6366434,-9.4884357,"Frances St, Kilrush, Co. Clare, Ireland"
"Main Street, Ballina, Killaloe, Clare, V94 VX28,Ireland",52.8097584,-8.4370829,"Ballina, Co. Tipperary, V94 VX28, Ireland"
"23 Abbey Street, Ennis, Clare, V95 W82X,Ireland",52.8449471,-8.9819622,"23 Abbey St, Clonroad Beg, Ennis, Co. Clare, Ireland"
"36 O`Curry Street, Kilkee, Clare, V15 R156,Ireland",52.6788333,-9.6483059,"36 O'Curry St, Dough, Kilkee, Co. Clare, V15 R156, Ireland"
"Skycourt Shopping Centre, Shannon, Clare, V14 RH21,Ireland",52.7104578,-8.879648999999999,"Skycourt Shopping Centre, Shannon Town Centre, Tullyvarraga, Shannon, Co. Clare, Ireland"
"Saint Ritas Frances Street, Drimna, Kilrush, Clare, V15 DA24,Ireland",52.6366434,-9.4884357,"Frances St, Kilrush, Co. Clare, Ireland"
"Unit 7 Roslevan Shopping Centre, Tulla Road, Ennis, Clare, V95 NH95,Ireland",52.8566807,-8.9594493,"Roslevan Shopping Centre, Tulla Road, Ennis, Co. Clare, Ireland"
"Main Street, Ennistymon, Clare, V95 Y2C6,Ireland",52.9402216,-9.293688900000001,"Ennistimon, Co. Clare, V95 Y2C6, Ireland"
