f_location,latitude,longitude,location
"Winchester Medical and Surgical,KINGSTON AND ST. ANDREW,Jamaica",18.0106055,-76.7930488,"3A Winchester Rd, Kingston, Jamaica"
"Erudite Medical Centre,KINGSTON AND ST. ANDREW,Jamaica",18.0099728,-76.7906337,"Unit #1, 5 Holborn Rd, Kingston, Jamaica"
"Health Plus Pharmacy,KINGSTON AND ST. ANDREW,Jamaica",18.0178743,-76.8099041,"Kingston, Jamaica"
"Vein Centre of Jamaica,KINGSTON AND ST. ANDREW,Jamaica",18.0178743,-76.8099041,"Kingston, Jamaica"
"Health Plus Associates,KINGSTON AND ST. ANDREW,Jamaica",18.0262792,-76.8327489,"Shop 29, Boulevard Super Centre 45, 20 Elma Cr, Kingston, Jamaica"
"Bethel Baptist Church,KINGSTON AND ST. ANDREW,Jamaica",18.0114484,-76.79603519999999,"6 Hope Rd, Kingston, Jamaica"
"Online Medics,KINGSTON AND ST. ANDREW,Jamaica",17.9405391,-76.9055628,"Shop 128 Greater Portmore Shopping Centre, Portmore, Jamaica"
"Fairco Medical and Dermatology,KINGSTON AND ST. ANDREW,Jamaica",18.0166283,-76.7805281,"80 Lady Musgrave Road, 80LMR Bldg A Unit, 9 Kingston 6, Kingston, Jamaica"
"Slipe Pen Road Comprehensive Health Center,KINGSTON AND ST. ANDREW,Jamaica",17.9863312,-76.7922553,"5, 55 Slipe Pen Rd, Kingston, Jamaica"
"Mona Ageing & Wellness Center,KINGSTON AND ST. ANDREW,Jamaica",18.0027745,-76.74584899999999,"3 Gibraltar Camp Way, University of the West Indies, Kingston, Jamaica"
"Stony Hill Health Center,KINGSTON AND ST. ANDREW,Jamaica",18.0628712,-76.7885225,"Stony Hill Rd, Kingston, Jamaica"
"University Hospital of the West Indies,KINGSTON AND ST. ANDREW,Jamaica",18.0055677,-76.73877519999999,"7 Mona Rd, Kingston, Jamaica"
"Windward Road Health Centre,KINGSTON AND ST. ANDREW,Jamaica",17.972996,-76.7633398,"Windward Rd, Kingston, Jamaica"
"Maxfield Park Health Centre,KINGSTON AND ST. ANDREW,Jamaica",17.9989668,-76.8049487,"89 Maxfield Ave, Kingston, Jamaica"
"Duhaney Park Health Centre,KINGSTON AND ST. ANDREW,Jamaica",18.0296291,-76.8504744,"Duhaney Park, Kingston, Jamaica"
"Sunrise Health Centre,KINGSTON AND ST. ANDREW,Jamaica",18.0388055,-76.813221,"107 Red Hills Rd, Kingston, Jamaica"
"Mobay Comprehensive Health Center,ST. JAMES,Jamaica",18.4762228,-77.8938895,"Montego Bay, Jamaica"
"Catherine Hall Health Center,ST. JAMES,Jamaica",18.4625943,-77.91863599999999,"F37J+2GQ, Montego Bay, Jamaica"
"Adelphi Health Center,ST. JAMES,Jamaica",18.4476968,-77.79556149999999,"C6X3+3QG, Adelphi, Jamaica"
"Greater Portmore Health Center,ST. CATHERINE,Jamaica",17.94798,-76.90956469999999,"Greater Portmore, Portmore, Jamaica"
"St Jago Park Health Center,ST. CATHERINE,Jamaica",17.9928017,-76.9464818,"X3V3+4CC, Burke Rd, Spanish Town, Jamaica"
"Old Harbour Health Center,ST. CATHERINE,Jamaica",17.941076,-77.10824439999999,"Old Harbour, Jamaica"
"Linstead Health Center,ST. CATHERINE,Jamaica",18.1332165,-77.0308647,"4XM9+7MX, Linstead, Jamaica"
"Dr. Excel (private provider),ST. CATHERINE,Jamaica",18.0364134,-77.0564464,"St. Catherine Parish, Jamaica"
"Dr. Williams (private provider),ST. CATHERINE,Jamaica",18.0364134,-77.0564464,"St. Catherine Parish, Jamaica"
"Greater Portmore Health Centre,ST. CATHERINE,Jamaica",17.9825467,-76.8762517,"Portmore Health Centre, Portmore, Jamaica"
"Online Medics (private provider),ST. CATHERINE,Jamaica",17.9405391,-76.9055628,"Shop 128 Greater Portmore Shopping Centre, Portmore, Jamaica"
"Dr. Heather Sherrif (private provider),ST. CATHERINE,Jamaica",18.0028541,-76.96382109999999,"36 Brunswick Ave, Spanish Town, Jamaica"
"Well Care Medical (private provider),ST. CATHERINE,Jamaica",17.9941245,-76.9575117,"26 - 28 Wellington St, Spanish Town, Jamaica"
"Mandeville Comprehensive Health Centre (services located at Elizabeth House),MANCHESTER,Jamaica",18.0325924,-77.5058197,"2FMV+2PJ, Manchester Road, Mandeville, Jamaica"
"Christiana Health Centre  ,MANCHESTER,Jamaica",18.1636831,-77.4905778,"5G75+FQF, Christiana, Jamaica"
"Porus Health Centre         ,MANCHESTER,Jamaica",18.0345922,-77.4106671,"Porus, Jamaica"
"Newport Health Centre,MANCHESTER,Jamaica",17.9529039,-77.4894661,"XG36+567, Snowdon Rd, Knockpatrick, Jamaica"
"Lucea Health Center,HANOVER,Jamaica",18.4504186,-78.17639369999999,"Lucea, Jamaica"
"Ramble Health Center,HANOVER,Jamaica",18.3287417,-77.9975651,"B8, Jamaica"
"Sandy Bay Health Center,HANOVER,Jamaica",18.4097707,-78.13363799999999,"Hanover Parish, Jamaica"
"Hopewell Health Center,HANOVER,Jamaica",18.4461517,-78.0166847,"Hopewell, Jamaica"
"Green Island Health Center,HANOVER,Jamaica",18.3883328,-78.2745963,"9PQG+85J, Green Island, Jamaica"
"Darliston Health Center,WESTMORELAND,Jamaica",18.2335217,-77.97328689999999,"62MG+CM4, Darliston, Jamaica"
"Savanna la Mar Health Center,WESTMORELAND,Jamaica",18.2291677,-78.1393397,"Savanna la Mar, Jamaica"
"Grange Hill Health Center,WESTMORELAND,Jamaica",18.3109894,-78.18779219999999,"Grange Hill, Jamaica"
"Negril Health Center,WESTMORELAND,Jamaica",18.2785292,-78.3437095,"7MH4+CG7, Negril, Jamaica"
"Whitehouse Health Center,WESTMORELAND,Jamaica",18.0943972,-77.9667267,"White House, Jamaica"
"Santa Cruz Health Centre (operating from St. Matthews Anglican Church),ST. ELIZABETH,Jamaica",18.0548569,-77.69651259999999,"3833+W9X, Santa Cruz, Jamaica"
"Junction Health Centre,ST. ELIZABETH,Jamaica",18.0788461,-77.69941969999999,"St. Elizabeth Parish, Jamaica"
"Maggotty Health Centre,ST. ELIZABETH,Jamaica",18.1574143,-77.7610761,"564Q+XH7, Maggotty, Jamaica"
"Black River Health Centre,ST. ELIZABETH,Jamaica",18.0272227,-77.8587555,"24GR+VFQ, High Street, Black River, Jamaica"
"Balaclava Health Centre,ST. ELIZABETH,Jamaica",18.1718343,-77.65074890000001,"Balaclava, Jamaica"
"Southfield Health Centre,ST. ELIZABETH,Jamaica",17.8833778,-77.6964283,"V8M3+9C4, Flagaman, Jamaica"
