시도,보건소명,의료기관명,X,Y
전라남도,곡성군보건소,의료법인대송의료재단 곡성사랑병원,127.2879867,35.276344
강원도,강릉시보건소,강원특별자치도 강릉의료원,128.8887718,37.749318
강원도,강릉시보건소,예수강릉메디컬의원,128.8941731,37.7540255
강원도,강릉시보건소,우리들내과의원,128.8944896,37.753924
강원도,강릉시보건소,강릉속편한내과의원,128.8955191,37.7546009
강원도,강릉시보건소,연세신영내과의원,128.8969418,37.7549505
강원도,강릉시보건소,서울이비인후과의원,128.8969418,37.7549505
강원도,강릉시보건소,상쾌한이비인후과의원,128.897399,37.7552174
강원도,강릉시보건소,연세마디의원,128.8971889,37.7556785
강원도,강릉시보건소,홍현일내과의원,128.8976832,37.7552602
강원도,강릉시보건소,김남원내과의원,128.8987742,37.7553871
강원도,강릉시보건소,홍내과의원,128.898502,37.7544611
강원도,강릉시보건소,푸른내과의원,128.8976091,37.7547652
강원도,강릉시보건소,연세소아청소년과의원,128.8977879,37.7545296
강원도,강릉시보건소,강남의원,128.9017215,37.7476338
강원도,강릉시보건소,난소아청소년과의원,128.8808225,37.7411424
강원도,강릉시보건소,파란소아청소년과의원,128.870693,37.7568683
강원도,강릉시보건소,이종원내과의원,128.9081128,37.7682991
강원도,강릉시보건소,행복한소아청소년과의원,128.9133438,37.7700157
강원도,강릉시보건소,박유인소아청소년과의원,128.8776344,37.7642142
강원도,강릉시보건소,한기철내과의원,128.8776344,37.7642142
강원도,강릉시보건소,위드내과의원,128.8778612,37.7651586
강원도,강릉시보건소,한가온한방병원,128.8778612,37.7651586
강원도,강릉시보건소,이명호내과의원,128.8755189,37.7638425
강원도,강릉시보건소,우주 가정의학과 의원,128.8754825,37.7636445
강원도,강릉시보건소,아이앤맘소아청소년과의원,128.899003,37.7583497
강원도,강릉시보건소,공내과의원,128.8998664,37.7612353
강원도,강릉시보건소,강릉연세요양병원,128.9009114,37.7622455
강원도,강릉시보건소,(의)아나의료재단 강릉아나병원,128.9030003,37.7604275
강원도,강릉시보건소,쾌의원,128.9051987,37.7517699
