f_location,latitude,longitude,location
"ул. Шота Руставели 95,Ленинский район, г.Бишкек, Kyrgyzstan",42.8450283,74.5831705,"95 Ulitsa Shota Rustaveli, Bishkek, Kyrgyzstan"
"ул.Крылова, 5,Ленинский район, г.Бишкек, Kyrgyzstan",42.8559458,74.5430963,"5 Krylov Street, Bishkek, Kyrgyzstan"
"ул.Ю.Фучика, 15,Ленинский район, г.Бишкек, Kyrgyzstan",42.8747742,74.56321799999999,"ю, 15 Fuchik St, Bishkek, Kyrgyzstan"
"ул.Ибраимова, 181,Свердловский район, г.Бишкек, Kyrgyzstan",42.937087,74.62362759999999,"181 Ulitsa Ibraimova, Bishkek, Kyrgyzstan"
"ул.Т.Молдо, 3,Первомайский район, г.Бишкек, Kyrgyzstan",42.873701,74.5957708,"3 Togolok Moldo St, Bishkek, Kyrgyzstan"
"ул.Кольбаева, 42,Свердловский район, г.Бишкек, Kyrgyzstan",42.8771181,74.6755848,"42 Kolbaev St, Bishkek 720022, Kyrgyzstan"
"6 мкр.дом №1,Октябрьский район, г.Бишкек, Kyrgyzstan",42.8241132,74.6268676,"6th Microdistrict, Bishkek, Kyrgyzstan"
"ул.Панфилова,4,Первомайский район, г.Бишкек, Kyrgyzstan",42.84766219999999,74.5985458,"4 Panfilov St, Bishkek, Kyrgyzstan"
"ул. Киевская 154,Ленинский район, г.Бишкек, Kyrgyzstan",42.8751198,74.5887451,"154 Kiev St, Bishkek, Kyrgyzstan"
"​микрорайон Аламедин-1, 63/1,Свердловский район, г.Бишкек, Kyrgyzstan",42.87738239999999,74.685418,"Alamedin-1 microdistrict, Bishkek, Kyrgyzstan"
"ул.Ибраимова, 181,Свердловский район, г.Бишкек, Kyrgyzstan",42.937087,74.62362759999999,"181 Ulitsa Ibraimova, Bishkek, Kyrgyzstan"
"с.Чон-Арык, ул.Семетей ,152,Ленинский район, г.Бишкек, Kyrgyzstan",42.8175949,74.567199,"Chon Aryk Street, Bishkek, Kyrgyzstan"
