Luxembourg,lat,log
Pop-up station - Belval Plaza Shopping Centre,49.5003573,5.945850359
49 Bd Royal,49.61166941,6.126231592
"131, Rue de Rollingergrund,",49.616997,6.1105032
"13A, rue Astrid,L-1143 Luxembourg-Belair",49.6076358,6.10632825
"29 Rue Evy Friedrich,1552 Luxembourg-Gasperich",49.59175467,6.115628597
"239 Route D'arlon,8011 Strassen,",49.62049995,6.06866835
3 Beim Schlass,49.6113313,6.049209568
27 Rte d'Arlon,49.65879816,5.909061339
46 Grand-Rue,49.61214512,6.129319968
40 Rue Emile Mark,49.52272197,5.893212468
74 Av. Dr Gaasch,49.54704647,5.840889597
