f_location,latitude,longitude,location
"463 Great South Road, ¨­t¨¡huhu, Auckland,NewZealand",-36.9451221,174.8447991,"463 Great South Road, Ōtāhuhu, Auckland 1062, New Zealand"
"26 Main Road, Katikati,NewZealand",-37.5528769,175.9173581,"26 Main Road, Katikati 3129, New Zealand"
"51 Tongariro Street, Taup¨­,NewZealand",-38.6874235,176.0697052,"51 Tongariro Street, Taupō 3330, New Zealand"
"72 East Coast Road, Milford, Auckland,NewZealand",-36.7687046,174.7580553,"72 East Coast Road, Milford, Auckland 0620, New Zealand"
"445 Ferguson Street, Palmerston North,NewZealand",-40.356509,175.619433,"445 Ferguson Street, Palmerston North Central, Palmerston North 4410, New Zealand"
"755 Main North Road Belfast, Christchurch,NewZealand",-43.4482763,172.6297487,"755 Main North Road, Belfast, Christchurch 8051, New Zealand"
"93 Bader Drive, M¨¡ngere, Auckland,NewZealand",-36.9691884,174.800108,"93 Bader Drive, Māngere, Auckland 2022, New Zealand"
"16 Francis Street, Blenheim,NewZealand",-41.5172837,173.957686,"16 Francis Street, Blenheim Central, Blenheim 7201, New Zealand"
"45/47 Picton Street, Howick, Auckland,NewZealand",-36.8937248,174.9308673,"45/47 Picton Street, Howick, Auckland 2014, New Zealand"
"20 Victoria Road, Devonport, Auckland,NewZealand",-36.830045,174.7980819,"20 Victoria Road, Devonport, Auckland 0624, New Zealand"
"19 Grant Road, Frankton, Queenstown,NewZealand",-45.0123343,168.7430938,"19 Grant Road, Frankton, Queenstown 9300, New Zealand"
"152 Bath Street, Levin,NewZealand",-40.6261348,175.2901669,"152 Bath Street, Levin 5510, New Zealand"
"Not found address,NewZealand",-40.900557,174.885971,New Zealand
"Wellsford COVID-19 Clinic, 72 School Road, Wellsford,NewZealand",-36.2837311,174.5131599,"72 School Road, Wellsford 0900, New Zealand"
"132-136 Queen Street, Masterton,NewZealand",-40.9498752,175.6612275,"132-136 Queen Street, Kuripuni, Masterton 5810, New Zealand"
"163A Onehunga Mall, Onehunga, Auckland,NewZealand",-36.9234489,174.785712,"163A Onehunga Mall, Onehunga, Auckland 1061, New Zealand"
"4 Williams Road, Paihia,NewZealand",-35.2822897,174.0913115,"4 Williams Road, Paihia 0200, New Zealand"
"544 Memorial Avenue, Christchurch Airport, Christchurch,NewZealand",-43.4909458,172.5477083,"544 Memorial Avenue, Christchurch Airport, Christchurch 8053, New Zealand"
"189 Main Road, Tawa, Wellington,NewZealand",-41.1697134,174.8246032,"189 Main Road, Tawa, Wellington 5028, New Zealand"
