f_location,latitude,longitude,location
"ABRA PHO,Abra - Ilocos Norte Rd. Calaba, Bangued, Abra,Philippines",17.599791,120.6215446,"Ilocos Sur-Abra Road, corner Abra - Kalinga Road, Calaba, HJXC+WJ7, Bangued, 2800 Abra, Philippines"
"BANGUED RURAL HEALTH UNIT,ACTIVIDAD ECONOMIA ST., ZONE 3, BANGUED, ABRA,Philippines",17.5881847,120.6314948,"Bangued, Abra, Philippines"
"Boliney Rural Health Unit,Poblacion, Boliney Abra,Philippines",17.3604233,120.8211796,"Poblacion (Boliney), Boliney, Abra, Philippines"
"BUCAY RURAL HEALTH UNIT,SOUTH POBLACION BUCAY,ABRA,Philippines",17.5391914,120.7249362,"South Poblacion, Bucay, Abra, Philippines"
"BUCLOC Rural Health Unit,Pob. Lamao, Bucloc Abra,Philippines",17.4416893,120.8574676,"CVR4+MXG, Bucloc, Abra, Philippines"
"DAGUIOMAN RURAL HELATH UNIT,TUI, DAGUIOMAN ABRA,Philippines",17.4590033,120.9264618,"FW5G+JH4, Daguioman, Abra, Philippines"
"DANGLAS RURAL HEALTH UNIT,Cabaruan, Danglas, Abra,Philippines",17.7206538,120.706051,"PPC4+7C7, Unnamed Road, Lagayan, Abra, Philippines"
"Dolores Rural Health Unit,Pobalcion, Dolores, Abra,Philippines",17.6499231,120.7285606,"National Road, Poblacion, JPXH+XC7, Dolores, 2801 Abra, Philippines"
"LA PAZ RURAL HEALTH UNIT,POBLACION LA PAZ ABRA,Philippines",17.6477334,120.6545022,"La Paz, Abra, Philippines"
"LACUB RURAL HEALTH UNIT,POBLACION,LACUB,ABRA,Philippines",17.6893614,120.9646866,"Lacub, Abra, Philippines"
"LAGANGILANG RURAL HEALTH UNIT,LAANG, LAGANGILANG, ABRA,Philippines",17.6075073,120.7358303,"JP5P+284, Lagangilang, Abra, Philippines"
"LAGAYAN RURAL HEALTH UNIT,Poblacion,Lagayan Abra,Philippines",17.7206538,120.706051,"PPC4+7C7, Unnamed Road, Lagayan, Abra, Philippines"
"LANGIDEN RURAL HEALTH UNIT,Poblacion, Langiden, Abra,Philippines",17.6038662,120.5394232,"Langiden, Abra, Philippines"
"LICUAN-BAAY RURAL HEALTH UNIT,MASISIAT, TUMALIP, LICUAN-BAAY,ABRA,Philippines",17.5472624,120.8756851,"GVWG+W73, Licuan-Baay, Abra, Philippines"
"LUBA RURAL HEALTH UNIT,Bangel, Poblacion, Luba, Abra,Philippines",17.3168002,120.6937516,"National Road, Poblacion, 8M8V+PGC, Luba, 2813 Abra, Philippines"
"Malibcong Rural Health Unit,Poblacion,Malibcong,Abra,Philippines",17.5969743,121.0105733,"H2W6+Q6P, Malibcong, 2820 Abra, Philippines"
"Manabo Rural Health Unit,Poblacion Ayyeng, Manabo, Abra,Philippines",17.432059,120.7044268,"CPJ3+RQF, Manabo, Abra, Philippines"
"Pe?arrubia Rural Health Unit,Dumayco Pe?arrubia,Abra,Philippines",17.5641798,120.6556658,"HM74+M7F, Pe?arrubia, Abra, Philippines"
"Pidigan Rural Health Unit,Poblacion West, Pidigan, Abra,Philippines",17.536542,120.564923,"National Road, Poblacion, GHP7+JX7, Pidigan, 2806 Abra, Philippines"
"PILAR RURAL HEALTH UNIT,POBLACION PILAR, ABRA,Philippines",17.3844704,120.5864632,"National Road, Poblacion, 9HMP+QHP, Pilar, 2812 Abra, Philippines"
"SALLAPADAN RURAL HEALTH UNIT,Poblacion, Gangal Sallapadan Abra,Philippines",17.4924842,120.7614595,"FQR6+XHW, National Road, Sallapadan, 2818 Abra, Philippines"
"San Isidro Rural Health Unit,Poblacion San isidro, Abra,Philippines",17.4800566,120.6142365,"San Isidro, Abra, Philippines"
"San Juan Rural Health Unit,North Poblacion, San Juan, Abra,Philippines",7.7624824,125.0222946,"North Poblacion, Maramag, Bukidnon, Philippines"
