Province,District,Facility,latitude,longitude,public_or_private
Eastern Cape,Sarah Baartman DM,Aberdeen Hospital,-32.48621,24.06093,Public
Eastern Cape,Sarah Baartman DM,Addo Clinic,-33.5469763,25.688122,Public
Eastern Cape,Amathole DM,Adelaide Hospital,-32.70092,26.29427,Public
Eastern Cape,Sarah Baartman DM,Aeroville Clinic,-32.7496,25.6035,Public
Eastern Cape,Alfred Nzo DM,Afsondering Clinic,-30.17988,28.94812,Public
Eastern Cape,Buffalo City MM,Agnes Rest Clinic,-31.6974,27.0313,Public
Eastern Cape,Sarah Baartman DM,Alexandria Clinic,-33.6512,26.4142,Public
Eastern Cape,Alfred Nzo DM,Alfred Ndzo Pharmacy,-30.9055606,28.9924785,Private
Eastern Cape,Nelson Mandela Bay MM,Algoa Park Clinic,-33.901,25.5648,Public
Eastern Cape,Joe Gqabi DM,Aliwal North Block H Clinic,-30.6883,26.6866999,Public
Eastern Cape,Joe Gqabi DM,Aliwal North Hospital,-30.69698,26.70719,Public
Eastern Cape,Chris Hani DM,All Saints Gateway Clinic,-31.6619,28.0504,Public
Eastern Cape,Chris Hani DM,All Saints Hospital,-31.66197,28.05041,Public
Eastern Cape,N Mandela Bay MM,Aloe Pharmacy,-33.98023,25.59612,Private
Eastern Cape,Buffalo City MM,Alphendale Clinic,-33.01355,27.84133,Public
Eastern Cape,Amathole DM,Amabele Clinic,-32.6633,27.5239,Public
Eastern Cape,OR Tambo DM,Amadiba,-31.07309,30.17901,Public
Eastern Cape,Buffalo City MM,Amahleke Clinic,-32.8353,27.2158,Public
Eastern Cape,Alfred Nzo DM,Amandengane Clinic,-31.08611,29.75053,Public
Eastern Cape,Alfred Nzo DM,Amantshangase,-30.83966,29.58773,Public
Eastern Cape,Sarah Baartman DM,Anglo African Street Clinic,-33.31,26.52464,Public
Eastern Cape,Chris Hani DM,Askeaton Clinic,-31.62522,27.46074,Public
Eastern Cape,Buffalo City MM,Aspiranza Clinic,-33.01916,27.84991,Public
Eastern Cape,Amathole DM,Assina Mandla Clinic,-32.75045,26.7941,Public
Eastern Cape,Chris Hani DM,Bacclesfarm Clinic,-32.03991,26.45647,Public
Eastern Cape,OR Tambo DM,Bala Clinic,-30.99031,29.53658,Public
Eastern Cape,,Baleni,-31.15916,29.97147,Public
Eastern Cape,Amathole DM,Balfour Clinic,-32.54578,26.68213,Public
Eastern Cape,OR Tambo DM,Bambisana Gateway Clinic,-31.45022,29.45341,Public
Eastern Cape,OR Tambo DM,Bambisana Hospital,-31.45019,29.45397,Public
Eastern Cape,Chris Hani DM,Baroda Clinic,-32.00216,25.51025,Public
Eastern Cape,Sarah Baartman DM,Baviaans Clinic,-33.32463,24.34423,Public
Eastern Cape,,Baymed Pharmacy,-34.0551113,24.9212444,Private
Eastern Cape,OR Tambo DM,Baziya Community Health Centre,-31.61512,28.38365,Public
Eastern Cape,Buffalo City MM,Beacon Bay Clinic,-32.96841484,27.93838389,Public
Eastern Cape,,Beatrice Ngwentle Clinic,-32.71754,25.59153,Public
Eastern Cape,,Bedford Clinic,-32.68292,26.0883,Public
Eastern Cape,Amathole DM,Bedford Hospital,-32.67534,26.09012,Public
Eastern Cape,,Beestekraal Clinic,-31.51964,27.80971,Public
Eastern Cape,,Bengu Clinic (Emalahleni),-31.79272,27.33541,Public
Eastern Cape,,Bensonvale Clinic,-30.58224,27.35663,Public
Eastern Cape,Buffalo City MM,Berea Pharmacy,-32.9935453,27.9124036,Private
Eastern Cape,Sarah Baartman DM,Bergsig Clinic,-33.3873,25.44973,Public
Eastern Cape,,Berlin Clinic,-32.88395,27.57776,Public
Eastern Cape,,Berlin Pharmacy,-32.8835075,27.0296321,Private
Eastern Cape,,Bethania Clinic,-30.62284,28.33295,Public
Eastern Cape,,Bezuidenhoutville Clinic,-32.68805,26.29813,Public
Eastern Cape,Buffalo City MM,Bhisho Gateway Clinic,-32.82752097,27.45507197,Public
Eastern Cape,Buffalo City MM,Bhisho Hospital,-32.82774,27.45516,Public
Eastern Cape,,Bhongweni Clinic,-32.74493,25.79826,Public
Eastern Cape,,Bilatye Clinic,-31.56788,27.21911,Public
Eastern Cape,,Bityi Clinic,-31.79429,28.52341,Public
Eastern Cape,,BJ Vorster (Kareedouw) Hospital,-33.95157,24.29786,Public
Eastern Cape,,Bluegums Clinic,-30.54751,27.23241,Public
Eastern Cape,,Bodweni Clinic,-31.18501,29.55156,Public
Eastern Cape,,Bokleni Clinic,-31.59469,28.19492,Public
Eastern Cape,,Bomvana Clinic,-32.11327,28.80161,Public
Eastern Cape,,Bomvini Clinic,-31.40167,29.47229,Public
Eastern Cape,,Boomplaas Clinic,-31.51293,27.17074,Public
Eastern Cape,,Booysens Park Clinic,-33.86204,25.45872,Public
Eastern Cape,,Braelyn Clinic,-32.99993,27.8793,Public
Eastern Cape,,Braelyn Extension Clinic,-33.00402,27.86104,Public
Eastern Cape,,Breidbach Clinic,-32.88818,27.44361,Public
Eastern Cape,,Brug Straat Clinic (Jansenville),-32.94814,24.66555,Public
Eastern Cape,,Buchele Clinic,-31.49563,29.62175,Public
Eastern Cape,,Bulembu Clinic,-32.87347,27.26767,Public
Eastern Cape,,Buntingville Clinic,-31.63386,28.86661,Public
Eastern Cape,,Burgersdorp Clinic,-30.9948,26.3321,Public
Eastern Cape,,Burgersdorp Hospital,-30.99357,26.31398,Public
Eastern Cape,Amathole DM,Butterworth Hospital,-32.33232,28.13877,Public
Eastern Cape,,Caba Clinic,-30.93633,28.71145,Public
Eastern Cape,,Caguba Clinic,-31.6237,29.4494,Public
Eastern Cape,,Cala Hospital,-31.52236,27.68274,Public
Eastern Cape,,Cambridge Clinic,-32.97799,27.88947,Public
Eastern Cape,,Cancele Clinic,-30.84798,28.78897,Public
Eastern Cape,,Canzibe Hospital,-31.80885,29.06588,Public
Eastern Cape,,Cata Clinic,-32.59484,27.12479,Public
Eastern Cape,Amathole DM,Cathcart Hospital,-32.29026,27.13691,Public
Eastern Cape,,CC Lloyd Clinic,-32.77502,26.63361,Public
Eastern Cape,Buffalo City MM,Cecilia Makiwane Hospital,-32.92785,27.74422,Public
Eastern Cape,,Central Clinic (East London),-33.01684,27.90585,Public
Eastern Cape,N Mandela Bay MM,Central Clinic (Port Elizabeth),-33.9646144,25.6127309,Public
Eastern Cape,N Mandela Bay MM,Central Community Health Centre (Sandford),-33.95789317,25.60205405,Public
Eastern Cape,Nelson Mandela Bay MM,Chatty Clinic,-33.87037663,25.49558336,Public
Eastern Cape,,Cimezile Clinic,-32.27403,26.62354,Public
Eastern Cape,,Civic Centre Clinic (Mthatha),-31.58265,28.78992,Public
Eastern Cape,,Clarkebury Clinic,-31.79195,28.28793,Public
Eastern Cape,,Clarkson Clinic,-34.01042,24.29446,Public
Eastern Cape,Joe Gqabi DM,Clicks Pharmacy - Aliwal North,-30.68750769,26.70580082,Private
Eastern Cape,,Clicks Pharmacy - Amalinda Square,-32.9943907,27.867358,Private
Eastern Cape,,Clicks Pharmacy - Baywest,-33.951564,25.460147,Private
Eastern Cape,Buffalo City MM,Clicks Pharmacy - Beacon Bay,-32.95484486,27.93141203,Private
Eastern Cape,OR Tambo DM,Clicks Pharmacy - BT Ngebs Mall,-31.59749087,28.78695116,Private
Eastern Cape,,Clicks Pharmacy - Cleary Park,-33.894275,25.5283546,Private
Eastern Cape,,Clicks Pharmacy - Despatch,-33.80007,25.47058,Private
Eastern Cape,,Clicks Pharmacy - Fort Beaufort,-32.778466,26.631114,Private
Eastern Cape,Sarah Baartman DM,Clicks Pharmacy - Fountains Mall,-34.03140773,24.8973587,Private
Eastern Cape,,Clicks Pharmacy - Gilwell,-33.020107,27.902237,Private
Eastern Cape,,Clicks Pharmacy - Gonubie,-32.936298,27.994429,Private
Eastern Cape,Sarah Baartman DM,Clicks Pharmacy - Graaff-Reinet,-32.24876011,24.53663781,Private
Eastern Cape,Sarah Baartman DM,Clicks Pharmacy - Grahamstown,-33.30961626,26.52776987,Private
Eastern Cape,Nelson Mandela Bay MM,Clicks Pharmacy - Greenacres,-33.94847678,25.57767026,Private
Eastern Cape,,Clicks Pharmacy - Hemmingways,-32.970537,27.897623,Private
Eastern Cape,,Clicks Pharmacy - Humewood,-33.9711475,25.6321898,Private
Eastern Cape,,Clicks Pharmacy - Jefferys Bay,-34.0343355,24.9302869,Private
Eastern Cape,Nelson Mandela Bay MM,Clicks Pharmacy - Kabega Park,-33.94611767,25.5089326,Private
Eastern Cape,,Clicks Pharmacy - Kamma Crossing Centre,-33.9701368,25.4936382,Private
Eastern Cape,Buffalo City MM,Clicks Pharmacy - King Williams Town,-32.8731347,27.3855396,Private
Eastern Cape,,Clicks Pharmacy - Mdantsane,-32.9355325,27.741345,Private
Eastern Cape,,Clicks Pharmacy - Moffet Retail Park,-33.955474,25.554574,Private
