f_location,latitude,longitude,location
"Stade d’Asfosa à Ablogamé,Golfe,DU GRAND-LOME,Togo",6.1546924,1.2338604,"01 BP 3926, Lomé, Togo"
"Stade de Dzifa-Kpota à Akodésséwa,nan,DU GRAND-LOME,Togo",6.165723499999999,1.2692361,"Djifa Kpota derrière la Poste, Bd Malfakassa, Lomé, Togo"
"CMS Bè-Kpota,nan,DU GRAND-LOME,Togo",6.1581625,1.2547969,"5753+7W7, Lomé, Togo"
"Stade de Kegue,Golfe,DU GRAND-LOME,Togo",6.2021203,1.2396713,"Jean-Paul 2, Lomé, Togo"
"Hôpital Secondaire de Bè,nan,DU GRAND-LOME,Togo",6.1256261,1.2254183,"Lomé, Togo"
"CMS Nukafu,nan,DU GRAND-LOME,Togo",6.162965,1.2388212,"Rue Fidélité, Lomé, Togo"
"CHU Campus,Golfe,DU GRAND-LOME,Togo",6.1794463,1.2126274,"Lomé, Togo"
"CMS Doumassesse,nan,DU GRAND-LOME,Togo",6.1597099,1.217452,"5658+VXP, Lomé, Togo"
"Stade municipal de Lomé,Golfe,DU GRAND-LOME,Togo",6.1931666,1.252254,"Lomé, Togo"
"Stade d’Agaza à Gbossimé,nan,DU GRAND-LOME,Togo",6.1593936,1.2055782,"Gbossimé, 376 Bd de la Kara, Lomé, Togo"
"Terrain du lycée de Tokoin,nan,DU GRAND-LOME,Togo",6.1533234,1.227749,"Eyadema, Lomé, Togo"
"CHU Sylvanus Olympio,nan,DU GRAND-LOME,Togo",6.1420394,1.2108751,"46R6+R96, Lomé, Togo"
"CMS Amoutivé,nan,DU GRAND-LOME,Togo",6.1546924,1.2338604,"01 BP 3926, Lomé, Togo"
"Centre de Santé de Lomé,nan,DU GRAND-LOME,Togo",6.135287099999999,1.2203081,"46PC+447, Lomé, Togo"
"Centre Hospitalier des Armées de Lomé,nan,DU GRAND-LOME,Togo",6.1546924,1.2338604,"01 BP 3926, Lomé, Togo"
"CMS Adidogomé,Golfe,DU GRAND-LOME,Togo",6.2069307,1.1708055,"654C+Q8F, Lomé, Togo"
"CMS Baguida,Golfe,DU GRAND-LOME,Togo",6.164285599999999,1.3262744,"Baguida, Lomé, Togo"
"CMS Ségbé,Golfe,DU GRAND-LOME,Togo",6.194038,1.1192612,"54V9+JP6, Rte vers Segbe, Lomé, Togo"
"Stade d ‘Agoènyivé,Agoé Nyivé,DU GRAND-LOME,Togo",6.2452253,1.1828504,"65WM+34X, Lomé, Togo"
"Terrain de l’École Primaire Publique de Sogbossito,nan,DU GRAND-LOME,Togo",6.2475916,1.1787566,"Sogbossito, Lomé, Togo"
"CMS Agoenyieve,nan,DU GRAND-LOME,Togo",6.1546924,1.2338604,"01 BP 3926, Lomé, Togo"
"CMS Cacaveli,nan,DU GRAND-LOME,Togo",6.206604899999999,1.1950713,"Lomé, Togo"
"Polyclinique Agoe Demapkoe,nan,DU GRAND-LOME,Togo",6.2464449,1.2031494,"S/C BP: 20436 Lomé - TOGO Lomé Atsanvé Agoè, Togo"
"CMS Légbassito,Agoé Nyivé,DU GRAND-LOME,Togo",6.2452253,1.1828504,"65WM+34X, Lomé, Togo"
"CMS Agoé- Elavagnon,Agoé Nyivé,DU GRAND-LOME,Togo",6.2452253,1.1828504,"65WM+34X, Lomé, Togo"
"CMS Togblékopé,Agoé Nyivé,DU GRAND-LOME,Togo",6.2452253,1.1828504,"65WM+34X, Lomé, Togo"
"CMS Sanguéra,Agoé Nyivé,DU GRAND-LOME,Togo",6.2452253,1.1828504,"65WM+34X, Lomé, Togo"
"CMS Adétikopé,Agoé Nyivé,DU GRAND-LOME,Togo",6.317906499999999,1.2223024,"869C+5W7, Adétikopé, Togo"
"Stade Dr KAOLO Tsévié,Zio,LA REGION MARITIME,Togo",6.4913504,1.2891036,"Maritime Region, Togo"
"CHR Tsévié,nan,LA REGION MARITIME,Togo",6.4314944,1.2227936,"C6JF+H4V, Tsevie, Togo"
"CHP Tabligbo,Yoto,LA REGION MARITIME,Togo",6.4913504,1.2891036,"Maritime Region, Togo"
"CHP Vogan,Vo,LA REGION MARITIME,Togo",6.3336659,1.5281253,"Vogan, Togo"
"Hôpital Assanhoun,Avé,LA REGION MARITIME,Togo",6.1437222,1.2064903,"Ave De La, Lomé, Togo"
