Vaccination_sites,Address,Latitude,Longitude
Abarilela Health Centre III,Uganda,1.962,33.8182
Abim hospital,"MMX5+H3H, Abim, Uganda",2.6989323,33.6577243
Adjumani Hospital,"9QFV+M2X, Adjumani, Uganda",3.3742416,31.7925959
Aduku Health Centre  IV,"Aduku, Uganda",2.0183543,32.720961
Agwata Health Centre  III,"X2JX+8PC, Adwoki, Uganda",1.9808136,33.0492675
AJIA Health Centre III,"Ajia, Uganda",2.9190999,31.0272
Akalo Health Centre  III,Uganda,2.125,32.816
Aketa Health Centre  III,"4X72+2CW, Aketa, Uganda",2.1126169,33.9510798
Alakas Health Centre  II,Uganda,1.8594,34.9968999
Alebtong Health Centre IV,"766P+9GC, Uganda",2.2609452,33.236253
Alerek Health Centre III,Uganda,2.7832,31.9264
Alero Health Centre  III,Uganda,2.729,32.062
Aliba Health Centre  III,"5GVG+FJG, Uganda",3.1936888,31.5265685
Amai Hospital,"QWPF+43J, Aputi, Uganda",1.7853319,32.9226354
Amaler Health Centre  III,Uganda,1.633,34.411
Amolatar Health Centre  IV,"JRQV+2H3, Agwingiri, Uganda",1.637506,32.8439176
Amudat General Hospital,"Amudat, Uganda",1.9534181,34.9437716
Amuria general hospital,"Amuria, Uganda",2.03017,33.6427533
Angal St. Luke hospital,Uganda,2.4085792,31.1935437
Anyara Health Centre  III,Uganda,1.984,33.361
Apac Hospital,"Apac, Uganda",1.9850906,32.5344456
Apala Health Centre III,"Apala, Uganda",2.404,33.0409999
Apapai Health Centre  III,Uganda,1.901,33.395
Apapai Health Centre  IV,Uganda,1.53,33.2909999
Apopong Health Centre  III,Uganda,1.217,33.675
Aputi Health Centre III,"PWF7+7FR, Aputi, Uganda",1.7232277,32.9136312
Atangwata Health Centre III,"GCF7+5WR, Ataparaolam, Uganda",2.5229756,33.4147561
Atiak Health Centre  IV,"Atiak, Uganda",3.256846,32.1220856
Atutur Hospital,"Apokin, Uganda",1.40971,33.9908408
Ayipe Health Centre  III,Uganda,3.5545,30.9207
BAITAMBOGWE Health Centre  III,Uganda,0.55,33.4
Banda Health Centre  III,Uganda,0.2453,33.8711
Bata Health Centre  III,Uganda,2.08,33.165
Bbaale Health Centre  IV,"4V4P+57H, Bbaale, Uganda",1.105435,32.8857369
Bigodi Health Centre  III,Uganda,0.452,30.401
Bihanga Health Centre  III,Uganda,-1.2833,29.6667
Bileafe Health Centre  III,Uganda,3.1062,31.0847
Bitereko Health Centre  III,"Bitereko, Uganda",-0.566667,29.983333
Bobi Health Centre III,"Bobi Health Centre III, Lira - Gulu Rd, Palenga, Uganda",2.5766644,32.3530847
Bondo Health Centre III,"RXHW+686, Bondo, Uganda",2.8280313,30.9957646
Bubaale Health Centre  III,"QX5P+669, Kabale, Uganda",-1.241956,29.9856157
Bubeke Health Centre  III,Uganda,-0.3236,32.585
Bubulo,"Bubulo, Uganda",0.9481283,34.272721
Bubutu Health Centre  III,Uganda,0.809,34.313
Budadiri Health Centre  IV,"Budadiri, Uganda",1.1711177,34.3324244
Budaka Health Centre  IV,Uganda,0.25,33.0167
Bududa Hospital,"285M+M4C, Bududa, Uganda",1.009185,34.3327713
Bufumira Health Centre  III,Uganda,-0.4097,32.5053
Bufunda Health Centre  III,"Ibanda, Uganda",-0.135,30.491
Bufundi Health Centre  III,Uganda,-1.301,29.867
Bugambe Health Centre  III,Uganda,1.4358,31.2355
Bugangari Health Centre  IV,"Bugangari, Uganda",-0.716667,29.85
Bugembe Health Centre  III,"Bugembe Health Centre, Bugembe, Uganda",0.4646119,33.2372023
Buginyanya Health Centre  III,"79G8+GJ2, Bumwambu, Uganda",1.2762547,34.3665218
Bugiri Hospital,"Bugiri, Uganda",0.5671365,33.7461847
Bugongi Health Centre  III,"Bugongi, Uganda",-0.6333331,30.25
Buhimba Health Centre  III,Uganda,1.373,31.291
Buikwe Health Centre  III,"82VG+MGP, Unnamed Road, Buikwe, Uganda",0.3442162,33.02634
Bujubuli Health Centre  III,Uganda,0.38,31.053
Bukalasi Health Centre III,"2958+WGP, Kufu, Uganda",1.0098316,34.3663394
Bukedea Health Centre  IV,"82HV+G2C, Bukedea, Uganda",1.3288124,34.042511
Bukinda Health Centre  III,Uganda,-1.207,30.118
Bukomera Health Centre  IV,Uganda,0.6909,32.0317999
Bukoova Health Centre  III,Uganda,0.875,33.3459999
Bukuuku Health Center IV,"Bukuuku, Uganda",0.6551639,30.1993381
Bukwa Health Centre  IV,"Bukwo, Uganda",1.2938,34.7396699
Bukwo Hospital,"Bukwo, Uganda",1.2938,34.7396699
Bulangira Health Centre  III,"Bulangira, Uganda",1.1332863,33.8815901
Bulegeni Health Centre  III,Uganda,1.2885,34.3326
BULESA Health Centre  III,Uganda,0.4746,33.8191
Buliisa Hospital,Uganda,-1.1474,30.178
Bulisa Health Centre  IV,"Bulisa, Uganda",2.1127266,31.417046
Bulo Health Centre  III,Uganda,0.0857,31.9811
Bulucheke Health Centre III,Uganda,1.0333,34.3833
Buluganya Health Centre  III,Uganda,1.2039,34.4013
Bululu Health Centre  III,Uganda,1.719,33.313
Bulumbi Health Centre  III,"Kisumu - Busia Rd, Uganda",0.4998472,33.985202
BUMANYA Health Centre  IV,"Bumanya, Uganda",1,33.4833336
Bumbo Health Centre  III,Uganda,0.874,34.4129999
Bunambutye Health Centre  III,Uganda,1.4,34.35
Bunaseke  Health Centre  III,Uganda,1.1751,34.3842
Bundibugyo hospital,"Bundibugyo, Uganda",0.707531,30.0636349
Bungokho Mutoto Health Centre  III,"Bungokho Mutoto, Uganda",1.0541224,34.2143676
Bupoto Health Centre  III,Uganda,0.9,34.331
Buremba Health Centre  III,Uganda,0.111,30.711
Burunga Health Centre  III,Uganda,0.139,30.956
Busabi Health Centre  III,"Busabi, Uganda",0.7667998,33.8760103
Busamuzi Health Centre  III,"Busamuzi, Uganda",0.2427778,33.2574997
Busanza Health Centre  IV,Uganda,-1.217,29.632
BUSEMBATYA Health Centre III,"Busembatia, Uganda",0.775995,33.6259699
Buseruka Health Centre  lll,"Buseruka, Uganda",1.5486,31.1355
BUSESA Health Centre  IV,"12 Main St, Jinja, Uganda",0.4267503,33.2086817
Buseta Health Centre  III,"3QH3+V24, Buseta, Uganda",1.0796325,33.7525856
Bushenyi Health Centre  IV,"Bushenyi, Uganda",-0.5423774,30.1964522
Bushika Health Centre  III,Uganda,1.0497,34.3429
Busiu Health Centre  IV,Uganda,0.92,34.142
Busolwe Hospital,"Busolwe, Uganda",0.8426915,33.9248222
Busowobi Health Centre  III,"JG6M+3GF, Nakalama, Uganda",0.6101994,33.5338047
Butabika Hospital,"plot 2 Kirombe-Butabika road, Kampala, Uganda",0.3147806,32.6577281
Butandiga  Health Centre  III,Uganda,1.2,34.3667
Butiiti Health Centre  III,"Butiiti, Uganda",0.6365536,30.5336665
Butiru,"Butiru, Uganda",0.8212321,34.2949409
Butoolo Health Centre  III,Uganda,0.112,32.211
Butyaba Health Centre  III,"Butiaba, Uganda",1.815151,31.324287
Buwama Health Centre  III,Uganda,0.046,32.091
Buwambo  Health Centre  III,"Buwambo, Uganda",0.5015312,32.5464662
Buwasa Health Centre  IV,Uganda,1.168,34.279
Buwenge Health Centre  III,"J5WF+V3W, Buwenge, Uganda",0.6472448,33.1726982
Buwunga Health Centre III,Uganda,-0.3728,31.7931
Buyende Health Centre  III,"5546+JFQ, Buyende, Uganda",1.1565797,33.1612229
Buyinja Health Centre  IV,Uganda,0.356,33.8489999
Bwera Health Centre  IV,"Bwera, Uganda",0.0364501,29.7599761
Bwijanga Health Centre IV,Uganda,1.467,31.595
Bwikara Health Center III,"Bwikara, Uganda",0.9598364,30.6890055
Bwindi Community Hospital,"2JJ8+GPG, Buhoma, Uganda",-0.9686833,29.6168145
Bwizi Health Centre  III,"Bwizi, Uganda",0.4,30.7166672
Chawente Health Centre  III,Uganda,1.7913,32.6577
Cheptapoyo Health Centre  II,Uganda,1.6603,34.9459
Chesower Health Centre  III,"Chesower, Uganda",1.2920724,34.5860608
"China-Uganda Friendship Hospital, Naguru","8JH4+V84, Road, Kampala, Uganda",0.3296436,32.6058221
Cilio Health Centre  III,"Cilio, Uganda",3.1976,31.0312
Dokolo Health Centre  IV,Uganda,1.8983,33.1775
Dranya Health Centre  III,Uganda,3.3674,30.9593
Dr's Hospital Seguku,"10km Along, Kampala - Entebbe Rd, Kampala, Uganda",0.2317996,32.5520906
Dufile Health Centre  III,"HW9F+JQQ, Uganda",3.5690897,31.9244973
Dzaipi Health Centre II,"Dzaipi, Onigo, Uganda",3.4499308,31.9398952
Entebbe Grade B Hospital,"Entebbe Grade B Hospital, Entebbe, Uganda",0.0591223,32.4710492
Etam Health Centre III,"MP52+RRV, Etam, Uganda",1.6596089,32.7020502
Fortpotal Regional Referral Hospital,"M73J+X3J, Mugurusi Rd, Fort Portal, Uganda",0.6549681,30.2801456
GADUMIRE Health Centre  III,"Gadumire, Uganda",1.1166667,33.5
Galiraya Health Centre  III,Uganda,1.343,32.8
Goli Health Centre  IV,Uganda,2.433,31.056
Gombe Hospital,"54F4+MHW, Kayenje, Uganda",0.1742499,32.1064668
Gulu Regional refferal Hospital,"laro division,, Q7HX+29W, Gulu, Uganda",2.7776119,32.2984425
Gweri Health Centre  III,Uganda,1.729,33.732
Hoima Regional Referral Hospital,"C9H3+7P5, Main Stree, Hoima, Uganda",1.4281309,31.3543732
Ibuje Health Centre III,"V9XH+9J7, Ibuje, Uganda",1.8984071,32.3790586
Iganga hospital,"JF8P+F2F, Main St, Iganga, Uganda",0.6161948,33.4850604
